dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,stage1_mrr,final_test_mrr,abs_gain,rel_gain_pct,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,valid_gain,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
FB15k-237,structural_r2d3,0.00000,/location/country/form_of_government,298.00000,28.00000,43.00000,0.49695,0.49695,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.43158,0.43158,0.00000,2413.00000,6226.00000,2.00000,0.00000,0.00000,2413.00000,105.00000,2021.00000,287.00000,0.00000,0.04351,0.83755,0.11894,1400.00000,4826.00000,6226.00000,2.58019,2.58019,0.50305,0.81381,0.81352,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,1.00000,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272.00000,63.00000,91.00000,0.07605,0.07605,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.11282,0.11282,0.00000,2646.00000,8634.00000,2.00000,0.00000,0.00000,2646.00000,447.00000,1316.00000,883.00000,0.00000,0.16893,0.49735,0.33371,3342.00000,5292.00000,8634.00000,3.26304,3.26304,0.92395,1.00000,1.00000,,,1.00000,1.00000,1.00000,,,,,,"[0.0,0.2)",Q4
FB15k-237,structural_r2d3,2.00000,/media_common/netflix_genre/titles,2671.00000,106.00000,124.00000,0.36851,0.34753,-0.02099,-5.69478,negative,dependency,1.00000,1.00000,0.33430,0.33533,0.00103,5987.00000,16603.00000,2.00000,3.00000,16603.00000,5987.00000,809.00000,3865.00000,1306.00000,7.00000,0.13513,0.64557,0.21814,11974.00000,4629.00000,16603.00000,2.77318,2.77318,0.63149,0.77620,0.99519,,,1.02568,1.03183,1.03355,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,3.00000,/award/award_winner/awards_won./award/award_honor/award_winner,8423.00000,27.00000,41.00000,0.23443,0.37227,0.13785,58.80201,positive,dependency,1.00000,1.00000,0.28463,0.34771,0.06308,79116.00000,316464.00000,2.00000,3.00000,316464.00000,79116.00000,2576.00000,60254.00000,16286.00000,0.00000,0.03256,0.76159,0.20585,158232.00000,158232.00000,316464.00000,4.00000,4.00000,0.76557,0.67603,0.18618,,,1.08541,1.18665,1.15957,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,4.00000,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262.00000,5.00000,12.00000,0.37546,0.37546,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.45007,0.45007,0.00000,795.00000,2171.00000,2.00000,0.00000,0.00000,795.00000,104.00000,626.00000,61.00000,4.00000,0.13082,0.78742,0.07673,581.00000,1590.00000,2171.00000,2.73082,2.73082,0.62454,1.00000,1.00000,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,5.00000,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265.00000,8.00000,10.00000,0.41056,0.41056,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.47713,0.47713,0.00000,820.00000,2196.00000,2.00000,0.00000,0.00000,820.00000,102.00000,648.00000,66.00000,4.00000,0.12439,0.79024,0.08049,556.00000,1640.00000,2196.00000,2.67805,2.67805,0.58944,0.71681,0.72054,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,6.00000,/film/actor/film./film/performance/film,9494.00000,715.00000,836.00000,0.07980,0.07789,-0.00192,-2.40063,neutral,dependency,1.00000,1.00000,0.06848,0.06854,0.00005,29447.00000,16690.00000,2.00000,3.00000,16690.00000,29447.00000,1621.00000,9929.00000,17897.00000,0.00000,0.05505,0.33718,0.60777,11084.00000,5606.00000,16690.00000,0.56678,0.56678,0.92020,1.22465,2.34714,,,1.88826,1.86623,1.85127,,,,,,"[0.0,0.2)",Q2
FB15k-237,structural_r2d3,7.00000,/award/award_category/nominees./award/award_nomination/nominated_for,9465.00000,746.00000,858.00000,0.21251,0.21141,-0.00111,-0.52030,neutral,dependency,1.00000,1.00000,0.21003,0.21185,0.00182,90670.00000,212019.00000,2.00000,3.00000,212019.00000,90670.00000,1025.00000,80807.00000,8810.00000,28.00000,0.01130,0.89122,0.09717,131861.00000,80158.00000,212019.00000,2.33836,2.33836,0.78749,0.74255,0.62750,,,1.03570,1.04119,1.04987,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,8.00000,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989.00000,188.00000,214.00000,0.31921,0.31912,-0.00009,-0.02868,neutral,dependency,1.00000,1.00000,0.26943,0.27408,0.00465,126142.00000,379530.00000,2.00000,3.00000,379530.00000,126142.00000,3694.00000,90398.00000,32050.00000,0.00000,0.02928,0.71664,0.25408,127246.00000,252284.00000,379530.00000,3.00875,3.00875,0.68079,0.65489,0.26429,,,0.98976,0.99562,0.99615,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,9.00000,/music/performance_role/regular_performances./music/group_membership/role,2655.00000,16.00000,40.00000,0.10314,0.11432,0.01118,10.83662,positive,dependency,1.00000,1.00000,0.13125,0.13167,0.00042,91633.00000,194070.00000,2.00000,3.00000,194070.00000,91633.00000,1069.00000,87714.00000,2850.00000,0.00000,0.01167,0.95723,0.03110,10804.00000,183266.00000,194070.00000,2.11791,2.11791,0.89686,0.56627,0.47474,,,1.00403,1.00403,1.00401,,,,,,"[0.0,0.2)",Q3
