dataset,aggregation,relation,relation_name,test_triple_count,stage1_mrr,test_mrr,absolute_gain,relative_gain_pct,selected_stage
FB15k-237,structural_r2d3,109,/film/film/written_by,26,0.12397,0.11329,-0.01068,-8.61402,dependency
FB15k-237,structural_r2d3,131,/military/military_conflict/combatants./military/military_combatant_group/combatants,34,0.34931,0.32977,-0.01954,-5.59426,dependency
FB15k-237,structural_r2d3,158,/tv/tv_network/programs./tv/tv_network_duration/program,26,0.19088,0.16421,-0.02667,-13.97162,dependency
FB15k-237,structural_r2d3,167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,22,0.79011,0.73578,-0.05434,-6.87713,dependency
FB15k-237,structural_r2d3,173,/film/film_set_designer/film_sets_designed,8,0.23013,0.19728,-0.03285,-14.27612,dependency
FB15k-237,structural_r2d3,2,/media_common/netflix_genre/titles,124,0.36851,0.34753,-0.02099,-5.69478,dependency
FB15k-237,structural_r2d3,78,/base/locations/continents/countries_within,5,0.82011,0.52942,-0.29070,-35.44597,dependency
YAGO3-10,structural_r2d3,12,participatedIn,19,0.32818,0.28347,-0.04471,-13.62347,dependency
YAGO3-10,structural_r2d3,23,wroteMusicFor,32,0.18500,0.17938,-0.00563,-3.04081,dependency
codex-m,structural_r3d6,19,P30,18,0.66299,0.63818,-0.02482,-3.74294,dependency
hetionet,structural_r2d3,9,CpD,33,0.30060,0.28484,-0.01576,-5.24273,dependency
