dataset,aggregation,MRR,structural_none_MRR,delta_vs_structural_none,better_than_structural_none
FB15k-237,structural_r2d3,0.351555,0.348228,0.003327,True
FB15k-237,structural_r3d6,0.351437,0.348228,0.003209,True
FB15k-237,pos_auto_ratio,0.350906,0.348228,0.002678,True
FB15k-237,structural_dep_scale,0.349468,0.348228,0.001240,True
FB15k-237,structural_surprisal_init,0.348360,0.348228,0.000132,True
FB15k-237,structural_none,0.348228,0.348228,0.000000,False
FB15k-237,synergy,0.348182,0.348228,-0.000046,False
FB15k-237,structural_rule_mask,0.347743,0.348228,-0.000485,False
FB15k-237,redundancy,0.347210,0.348228,-0.001018,False
FB15k-237,structural_rd,0.344174,0.348228,-0.004054,False
FB15k-237,sign_constraint_dependency,0.334086,0.348228,-0.014142,False
FB15k-237,init_dep_with_lift,0.330619,0.348228,-0.017609,False
KG20C,init_dep_with_lift,0.233655,0.232779,0.000876,True
KG20C,sign_constraint_dependency,0.233496,0.232779,0.000717,True
KG20C,pos_auto_ratio,0.233439,0.232779,0.000660,True
KG20C,synergy,0.232885,0.232779,0.000106,True
KG20C,structural_rule_mask,0.232842,0.232779,0.000063,True
KG20C,structural_none,0.232779,0.232779,0.000000,False
KG20C,structural_dep_scale,0.232600,0.232779,-0.000179,False
KG20C,structural_surprisal_init,0.231997,0.232779,-0.000782,False
KG20C,redundancy,0.229664,0.232779,-0.003115,False
KG20C,structural_r3d6,0.228288,0.232779,-0.004491,False
KG20C,structural_rd,0.227670,0.232779,-0.005109,False
KG20C,structural_r2d3,0.227091,0.232779,-0.005688,False
WN18RR,structural_rd,0.502189,0.500535,0.001654,True
WN18RR,init_dep_with_lift,0.500869,0.500535,0.000334,True
WN18RR,structural_rule_mask,0.500666,0.500535,0.000131,True
WN18RR,structural_none,0.500535,0.500535,0.000000,False
WN18RR,structural_surprisal_init,0.500205,0.500535,-0.000330,False
WN18RR,structural_dep_scale,0.499873,0.500535,-0.000662,False
WN18RR,synergy,0.499568,0.500535,-0.000967,False
WN18RR,pos_auto_ratio,0.499556,0.500535,-0.000979,False
WN18RR,sign_constraint_dependency,0.499512,0.500535,-0.001023,False
WN18RR,redundancy,0.499462,0.500535,-0.001073,False
WN18RR,structural_r2d3,0.499230,0.500535,-0.001305,False
WN18RR,structural_r3d6,0.499178,0.500535,-0.001357,False
YAGO3-10,structural_dep_scale,0.577961,0.575377,0.002584,True
YAGO3-10,structural_r2d3,0.576659,0.575377,0.001282,True
YAGO3-10,synergy,0.575473,0.575377,0.000096,True
YAGO3-10,structural_surprisal_init,0.575444,0.575377,0.000067,True
YAGO3-10,structural_none,0.575377,0.575377,0.000000,False
YAGO3-10,structural_rule_mask,0.574721,0.575377,-0.000656,False
YAGO3-10,redundancy,0.574653,0.575377,-0.000724,False
YAGO3-10,structural_rd,0.573780,0.575377,-0.001597,False
YAGO3-10,pos_auto_ratio,0.572212,0.575377,-0.003165,False
YAGO3-10,init_dep_with_lift,0.569127,0.575377,-0.006250,False
YAGO3-10,structural_r3d6,0.568721,0.575377,-0.006656,False
codex-l,structural_dep_scale,0.333772,0.333535,0.000237,True
codex-l,structural_none,0.333535,0.333535,0.000000,False
codex-l,synergy,0.333339,0.333535,-0.000196,False
codex-l,structural_rd,0.332875,0.333535,-0.000660,False
codex-l,structural_surprisal_init,0.332853,0.333535,-0.000682,False
codex-l,sign_constraint_dependency,0.332814,0.333535,-0.000721,False
codex-l,redundancy,0.332636,0.333535,-0.000899,False
codex-l,init_dep_with_lift,0.332621,0.333535,-0.000914,False
codex-l,structural_rule_mask,0.332537,0.333535,-0.000998,False
codex-l,structural_r3d6,0.331726,0.333535,-0.001809,False
codex-l,structural_r2d3,0.331684,0.333535,-0.001851,False
codex-l,pos_auto_ratio,0.330024,0.333535,-0.003511,False
codex-m,structural_r3d6,0.343299,0.342474,0.000825,True
codex-m,structural_dep_scale,0.342975,0.342474,0.000501,True
codex-m,structural_r2d3,0.342941,0.342474,0.000467,True
codex-m,structural_rd,0.342537,0.342474,0.000063,True
codex-m,structural_none,0.342474,0.342474,0.000000,False
codex-m,redundancy,0.342124,0.342474,-0.000350,False
codex-m,structural_rule_mask,0.342114,0.342474,-0.000360,False
codex-m,structural_surprisal_init,0.341896,0.342474,-0.000578,False
codex-m,sign_constraint_dependency,0.341891,0.342474,-0.000583,False
codex-m,synergy,0.341465,0.342474,-0.001009,False
codex-m,pos_auto_ratio,0.340062,0.342474,-0.002412,False
codex-m,init_dep_with_lift,0.338399,0.342474,-0.004075,False
hetionet,structural_r2d3,0.369847,0.362111,0.007736,True
hetionet,structural_r3d6,0.368801,0.362111,0.006690,True
hetionet,pos_auto_ratio,0.365239,0.362111,0.003128,True
hetionet,structural_surprisal_init,0.365147,0.362111,0.003036,True
hetionet,structural_rd,0.364354,0.362111,0.002243,True
hetionet,synergy,0.362595,0.362111,0.000484,True
hetionet,redundancy,0.362197,0.362111,0.000086,True
hetionet,structural_none,0.362111,0.362111,0.000000,False
hetionet,sign_constraint_dependency,0.362044,0.362111,-0.000067,False
hetionet,structural_rule_mask,0.361919,0.362111,-0.000192,False
hetionet,structural_dep_scale,0.360300,0.362111,-0.001811,False
hetionet,init_dep_with_lift,0.357075,0.362111,-0.005036,False
