dataset,aggregation,MRR,h@1,h@10,time
KG20C,best_combination,0.233439,0.161386,0.373523,353.912594
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.233342,0.161386,0.374060,1074.872078
KG20C,best_combination_dep_score_clip_dep_fix_topk8_0412,0.233448,0.161386,0.373657,1077.368403
KG20C,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.232752,0.160580,0.373120,1092.238178
KG20C,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.231797,0.159372,0.374060,1110.358311
KG20C,canonical,0.239401,0.166219,0.375537,2448.914000
KG20C,dep_scale_surprisal_init,0.232402,0.158566,0.373255,404.189009
KG20C,ensemble_best_valid,0.235229,0.160849,0.377954,756.894839
KG20C,eval-maxplus,0.214810,0.142857,0.360768,2.014791
KG20C,eval-noisyor,0.229772,0.156686,0.375940,1.995829
KG20C,init_dep_with_lift,0.233655,0.160043,0.374329,867.444159
KG20C,pos_auto_ratio,0.233439,0.161386,0.373523,830.621033
KG20C,redundancy,0.229664,0.156821,0.372449,787.548760
KG20C,sign_constraint_dependency,0.233496,0.159640,0.375940,861.828913
KG20C,structural_dep_scale,0.232600,0.159640,0.371778,819.294428
KG20C,structural_none,0.232779,0.159909,0.371241,750.311100
KG20C,structural_none__stage1,0.228299,0.155344,0.368287,750.311100
KG20C,structural_none_lift_k1,0.232688,0.159640,0.371375,769.781131
KG20C,structural_none_lift_k4,0.232688,0.159640,0.371375,773.897928
KG20C,structural_none_mix_k1,0.232688,0.159640,0.371375,755.465530
KG20C,structural_none_mix_k2,0.232688,0.159640,0.371375,780.464503
KG20C,structural_none_mix_k4,0.232688,0.159640,0.371375,787.499952
KG20C,structural_none_ratio_k1,0.232719,0.159237,0.372449,763.871804
KG20C,structural_none_ratio_k2,0.232735,0.159237,0.372449,767.101455
KG20C,structural_none_ratio_k4,0.232688,0.159640,0.371375,786.707229
KG20C,structural_r2d3,0.227091,0.155478,0.368018,716.698232
KG20C,structural_r2d3__stage1,0.226728,0.154270,0.367213,716.698232
KG20C,structural_r3d6,0.228288,0.156418,0.368824,744.315426
KG20C,structural_r3d6__stage1,0.227693,0.154672,0.368555,744.315426
KG20C,structural_rd,0.227670,0.156686,0.367884,815.499091
KG20C,structural_rd__stage1,0.227177,0.154538,0.368690,815.499091
KG20C,structural_rule_mask,0.232842,0.159237,0.373926,791.336230
KG20C,structural_surprisal_init,0.231997,0.158432,0.373255,767.924067
KG20C,synergy,0.232885,0.159909,0.371643,748.342217
codex-m,best_combination,0.343197,0.274367,0.477888,1828.538413
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.343797,0.275628,0.478276,3933.548178
codex-m,best_combination_dep_score_clip_dep_fix_topk8_0412,0.343660,0.275095,0.479682,3958.786584
codex-m,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.343425,0.275240,0.478712,3642.913837
codex-m,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.343331,0.275386,0.478227,3989.167870
codex-m,canonical,0.345537,0.276840,0.480555,7890.144000
codex-m,dep_scale_surprisal_init,0.342372,0.273834,0.476142,1732.085883
codex-m,ensemble_best_valid,0.346341,0.277519,0.478955,4008.197760
codex-m,eval-maxplus,0.319487,0.248909,0.455145,118.883764
