dataset,aggregation,component,count,mean_original,mean_trained,mean_abs_delta,mean_abs_trained,positive_ratio,negative_ratio,near_zero_ratio_0.01,near_zero_ratio_0.05,min_trained,max_trained,max_abs_trained
KG20C,init_dep_with_lift,rule,154790,0.346801,0.395005,0.085913,0.397602,0.920880,0.034653,0.124847,0.171930,-1.030075,1.902279,1.902279
KG20C,init_dep_with_lift,dependency_trial,168315,0.007387,0.011870,0.005029,0.013342,0.988979,0.011021,0.681145,0.976924,-0.590139,1.150979,1.150979
KG20C,init_dep_with_lift,dependency_final,168315,0.007387,0.011870,0.005029,0.013342,0.988979,0.011021,0.681145,0.976924,-0.590139,1.150979,1.150979
codex-m,structural_r3d6,rule,518279,0.537521,0.340190,0.301933,0.346846,0.916854,0.039077,0.113883,0.149719,-2.053752,2.991240,2.991240
codex-m,structural_r3d6,dependency_trial,883207,0.000000,-0.000294,0.001214,0.001214,0.019391,0.024688,0.976206,0.992475,-0.588727,0.485781,0.588727
codex-m,structural_r3d6,dependency_final,39501,0.000000,-0.006569,0.027152,0.027152,0.433559,0.552011,0.467988,0.831751,-0.588727,0.485781,0.588727
WN18RR,structural_rd,rule,76909,0.395745,0.467091,0.141109,0.494882,0.889441,0.062021,0.107543,0.190316,-2.073546,4.249626,4.249626
WN18RR,structural_rd,dependency_trial,45212,0.000000,0.001646,0.004041,0.004041,0.143059,0.054410,0.890781,0.982682,-0.302465,0.234521,0.302465
WN18RR,structural_rd,dependency_final,5482,0.000000,0.009941,0.019304,0.019304,0.755928,0.161802,0.576979,0.888179,-0.302465,0.234521,0.302465
FB15k-237,best_combination,rule,1737378,0.572959,0.371631,0.273470,0.374667,0.908254,0.067543,0.153206,0.200561,-2.689456,5.067520,5.067520
FB15k-237,best_combination,dependency_trial,3946389,0.000000,-0.000445,0.003439,0.003439,0.143866,0.151699,0.887676,0.991377,-0.611616,0.418117,0.611616
FB15k-237,best_combination,dependency_final,1223028,0.000000,-0.001434,0.011096,0.011096,0.464217,0.489492,0.637559,0.972176,-0.611616,0.418117,0.611616
codex-l,structural_dep_scale,rule,273472,0.394004,0.392236,0.390947,0.446807,0.710190,0.144677,0.309022,0.382602,-2.260436,4.290318,4.290318
codex-l,structural_dep_scale,dependency_trial,455330,0.000000,-0.038161,0.082725,0.082725,0.169651,0.346094,0.545918,0.821178,-6.767926,2.572623,6.767926
codex-l,structural_dep_scale,dependency_final,235520,0.000000,-0.073777,0.159932,0.159932,0.327985,0.669102,0.122126,0.654284,-6.767926,2.572623,6.767926
YAGO3-10,structural_dep_scale,rule,990481,0.387160,0.369103,0.461867,0.406372,0.613830,0.121248,0.448579,0.549713,-2.261792,4.202267,4.202267
YAGO3-10,structural_dep_scale,dependency_trial,1707159,0.000000,-0.000003,0.063208,0.063208,0.189624,0.183746,0.680502,0.792242,-3.252486,2.403139,3.252486
YAGO3-10,structural_dep_scale,dependency_final,638610,0.000000,-0.000009,0.168969,0.168969,0.506912,0.491198,0.145904,0.444613,-3.252486,2.403139,3.252486
hetionet,structural_r2d3,rule,6103910,0.408817,0.319923,0.210798,0.325425,0.852765,0.075352,0.207881,0.270571,-1.752559,4.997850,4.997850
hetionet,structural_r2d3,dependency_trial,7154604,0.000000,-0.000039,0.000293,0.000293,0.013149,0.015315,0.989487,0.999815,-0.168523,0.188690,0.188690
hetionet,structural_r2d3,dependency_final,664361,0.000000,-0.000418,0.003153,0.003153,0.141601,0.164933,0.886786,0.998009,-0.168523,0.188690,0.188690
