dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,1,author_write_paper,830,0.23051,0.23997,0.23997,0.00946,4.10338,0.00000,rule_only
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,2,paper_cite_paper,599,0.18202,0.19449,0.19449,0.01246,6.84657,0.00000,rule_only
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,3,paper_in_domain,1446,0.11611,0.12606,0.12606,0.00995,8.56965,0.00000,rule_only
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,1,P463,583,0.42434,0.43789,0.43789,0.01355,3.19425,0.00000,dependency
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,12,P159,8,0.26181,0.27748,0.27724,0.01543,5.89439,-0.00024,dependency
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,23,P737,71,0.11339,0.11849,0.12122,0.00783,6.90507,0.00273,dependency
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,26,P641,11,0.63453,0.68984,0.68984,0.05530,8.71553,0.00000,rule_only
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,35,P37,13,0.45888,0.45376,0.51094,0.05205,11.34332,0.05718,dependency
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,6,_has_part,172,0.20914,0.20516,0.22029,0.01115,5.33014,0.01513,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,3,/award/award_winner/awards_won./award/award_honor/award_winner,41,0.26534,0.31252,0.31252,0.04718,17.78089,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,7,/award/award_category/nominees./award/award_nomination/nominated_for,858,0.20420,0.22639,0.22965,0.02545,12.46201,0.00326,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,214,0.27075,0.31806,0.32952,0.05876,21.70421,0.01146,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,9,/music/performance_role/regular_performances./music/group_membership/role,40,0.09913,0.11709,0.11709,0.01796,18.12076,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,24,0.22923,0.24107,0.24107,0.01183,5.16279,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1447,0.33451,0.37703,0.37703,0.04252,12.71217,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,14,/film/film/language,314,0.52324,0.53975,0.53975,0.01651,3.15445,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,16,/organization/organization/headquarters./location/mailing_address/country,7,0.44989,0.45383,0.47862,0.02873,6.38577,0.02479,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,19,/award/award_nominee/award_nominations./award/award_nomination/award,1067,0.19942,0.20622,0.21756,0.01814,9.09603,0.01133,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,20,/music/genre/artists,664,0.26029,0.26427,0.27312,0.01283,4.92716,0.00885,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,21,/influence/influence_node/influenced_by,235,0.14440,0.14952,0.14952,0.00512,3.54673,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,23,/organization/organization_member/member_of./organization/organization_membership/organization,96,0.51631,0.54153,0.54153,0.02522,4.88381,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,24,/people/person/place_of_birth,170,0.13149,0.13649,0.13593,0.00445,3.38382,-0.00055,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,258,0.40877,0.43290,0.43290,0.02413,5.90300,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,30,/award/award_winning_work/awards_won./award/award_honor/award,118,0.17743,0.19649,0.20755,0.03012,16.97747,0.01106,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,31,/film/film/genre,722,0.30315,0.31238,0.31365,0.01050,3.46273,0.00126,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,44,/business/job_title/people_with_this_title./business/employment_tenure/company,85,0.26309,0.28024,0.28024,0.01715,6.51959,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,32,0.05312,0.07153,0.07153,0.01841,34.65679,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,47,/award/award_category/winners./award/award_honor/award_winner,217,0.17377,0.18981,0.19034,0.01656,9.53208,0.00053,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,52,/music/genre/parent_genre,97,0.16270,0.20418,0.20418,0.04148,25.49198,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,55,0.39997,0.40048,0.42635,0.02638,6.59675,0.02588,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,59,/film/film_subject/films,77,0.20250,0.21476,0.21476,0.01225,6.05026,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,64,/government/legislative_session/members./government/government_position_held/legislative_sessions,13,0.39182,0.39182,0.40504,0.01322,3.37349,0.01322,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,66,/people/person/places_lived./people/place_lived/location,305,0.12977,0.13244,0.13489,0.00512,3.94201,0.00245,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,70,/language/human_language/countries_spoken_in,25,0.30643,0.33496,0.35901,0.05257,17.15693,0.02404,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,74,/film/film/other_crew./film/film_crew_gig/crewmember,26,0.14902,0.15746,0.15746,0.00845,5.66736,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,76,/music/record_label/artist,266,0.15688,0.16599,0.16599,0.00911,5.81015,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,80,/sports/sports_team/sport,53,0.69351,0.72761,0.72962,0.03611,5.20718,0.00200,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,83,/organization/organization/headquarters./location/mailing_address/citytown,55,0.22785,0.24610,0.24955,0.02170,9.52617,0.00345,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,87,/location/country/second_level_divisions,46,0.64685,0.65154,0.67420,0.02735,4.22824,0.02265,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,38,0.55090,0.54608,0.61232,0.06142,11.14883,0.06624,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,121,0.38274,0.39314,0.40840,0.02566,6.70385,0.01525,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,106,/film/film/featured_film_locations,100,0.14772,0.15730,0.15594,0.00822,5.56316,-0.00137,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,116,/film/film/music,92,0.18618,0.20497,0.21196,0.02578,13.84483,0.00699,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,84,0.75434,0.78553,0.79236,0.03802,5.04005,0.00683,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,31,0.12449,0.13052,0.13052,0.00603,4.84526,0.00000,rule_only
