dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
KG20C,init_dep_with_lift,4,paper_in_venue,369,0.40664,0.40664,0.40631,-0.00033,-0.08099,-0.00033,dependency
codex-m,structural_r3d6,6,P840,85,0.16682,0.16458,0.16652,-0.00030,-0.17916,0.00193,dependency
codex-m,structural_r3d6,9,P17,79,0.62421,0.61646,0.61367,-0.01054,-1.68858,-0.00278,dependency
codex-m,structural_r3d6,10,P136,591,0.28118,0.27980,0.27698,-0.00420,-1.49469,-0.00282,dependency
codex-m,structural_r3d6,11,P1412,598,0.49122,0.48972,0.48972,-0.00150,-0.30616,0.00000,rule_only
codex-m,structural_r3d6,13,P19,339,0.25283,0.25277,0.25276,-0.00007,-0.02593,-0.00000,dependency
codex-m,structural_r3d6,14,P1303,297,0.44735,0.44727,0.44673,-0.00062,-0.13899,-0.00054,dependency
codex-m,structural_r3d6,17,P264,169,0.14763,0.14499,0.14617,-0.00146,-0.99087,0.00118,dependency
codex-m,structural_r3d6,18,P495,115,0.51164,0.51092,0.50993,-0.00170,-0.33309,-0.00099,dependency
codex-m,structural_r3d6,19,P30,18,0.65973,0.66299,0.63818,-0.02156,-3.26752,-0.02482,dependency
codex-m,structural_r3d6,28,P57,31,0.22773,0.22773,0.22747,-0.00026,-0.11614,-0.00026,dependency
codex-m,structural_r3d6,32,P1050,20,0.28556,0.28556,0.28544,-0.00012,-0.04286,-0.00012,dependency
codex-m,structural_r3d6,35,P37,13,0.45888,0.45376,0.44430,-0.01458,-3.17703,-0.00945,dependency
WN18RR,structural_rd,3,_also_see,56,0.66021,0.65110,0.65115,-0.00907,-1.37328,0.00004,dependency
WN18RR,structural_rd,8,_member_of_domain_region,26,0.38072,0.37553,0.38065,-0.00007,-0.01804,0.00512,dependency
FB15k-237,structural_r2d3,2,/media_common/netflix_genre/titles,124,0.36690,0.36851,0.34753,-0.01937,-5.28029,-0.02099,dependency
FB15k-237,structural_r2d3,6,/film/actor/film./film/performance/film,836,0.07950,0.07980,0.07789,-0.00162,-2.03155,-0.00192,dependency
FB15k-237,structural_r2d3,14,/film/film/language,314,0.52324,0.52291,0.52291,-0.00033,-0.06390,0.00000,rule_only
FB15k-237,structural_r2d3,15,/location/location/contains,330,0.43660,0.43477,0.43477,-0.00183,-0.41944,0.00000,rule_only
FB15k-237,structural_r2d3,17,/people/person/profession,1311,0.40486,0.40467,0.40467,-0.00018,-0.04501,0.00000,rule_only
FB15k-237,structural_r2d3,21,/influence/influence_node/influenced_by,235,0.14440,0.14184,0.14184,-0.00256,-1.77142,0.00000,rule_only
FB15k-237,structural_r2d3,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,151,0.51089,0.51089,0.51024,-0.00065,-0.12716,-0.00065,dependency
FB15k-237,structural_r2d3,37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,91,0.53166,0.52424,0.52424,-0.00742,-1.39648,0.00000,rule_only
FB15k-237,structural_r2d3,48,/people/person/nationality,494,0.51507,0.50693,0.50693,-0.00814,-1.57986,0.00000,rule_only
FB15k-237,structural_r2d3,50,/people/cause_of_death/people,94,0.17383,0.17383,0.17355,-0.00028,-0.16204,-0.00028,dependency
FB15k-237,structural_r2d3,52,/music/genre/parent_genre,97,0.16270,0.16084,0.16084,-0.00187,-1.14820,0.00000,rule_only
FB15k-237,structural_r2d3,61,/education/educational_institution/colors,90,0.22403,0.22712,0.22209,-0.00195,-0.86951,-0.00503,dependency
