dataset,experiment,type_grouping,test_mrr,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud
KG20C,structural_none,none,0.232779,,,,,,,,,,,,
KG20C,structural_r2d3,r2d3,0.227091,0.948948,1.580892,,,0.772019,0.915009,1.012769,,,,,
KG20C,structural_r3d6,r3d6,0.228288,0.963344,,1.604526,1.113424,0.772019,,,1.034572,,1.137234,0.693990,
KG20C,structural_rd,rd,0.227670,,,,,,,,,,,,
codex-m,structural_none,none,0.342474,,,,,,,,,,,,
codex-m,structural_r2d3,r2d3,0.342941,0.838492,1.420455,,,1.109886,1.055138,1.147320,,,,,
codex-m,structural_r3d6,r3d6,0.343299,0.839027,,1.508408,1.088229,1.099279,,,1.044176,,1.099067,1.038710,0.832895
codex-m,structural_rd,rd,0.342537,,,,,,,,,,,,
WN18RR,structural_none,none,0.500535,,,,,,,,,,,,
WN18RR,structural_r2d3,r2d3,0.499230,0.810942,1.831300,,,1.115226,1.010142,1.022532,,,,,
WN18RR,structural_r3d6,r3d6,0.499178,0.934654,,2.721567,1.547861,1.325268,,,1.043863,,1.172641,0.649602,0.038928
WN18RR,structural_rd,rd,0.502189,,,,,,,,,,,,
FB15k-237,structural_none,none,0.348228,,,,,,,,,,,,
FB15k-237,structural_r2d3,r2d3,0.351555,0.792864,0.936619,,,1.030817,0.898863,1.055715,,,,,
FB15k-237,structural_r3d6,r3d6,0.351437,0.792364,,0.958192,0.889466,1.006269,,,0.874081,,1.032605,1.028683,0.884445
FB15k-237,structural_rd,rd,0.344174,,,,,,,,,,,,
codex-l,structural_none,none,0.333535,,,,,,,,,,,,
codex-l,structural_r2d3,r2d3,0.331684,0.843924,1.674866,,,1.386405,1.272470,1.439216,,,,,
codex-l,structural_r3d6,r3d6,0.331726,0.934646,,1.983838,1.212851,1.345747,,,1.236589,,1.394380,1.207431,0.803665
codex-l,structural_rd,rd,0.332875,,,,,,,,,,,,
YAGO3-10,structural_none,none,0.575377,,,,,,,,,,,,
YAGO3-10,structural_r2d3,r2d3,0.576659,1.044411,1.199944,,,1.272611,1.245317,1.300594,,,,,
YAGO3-10,structural_r3d6,r3d6,0.568721,0.895874,,1.477891,0.685286,1.615368,,,1.540350,,1.449005,0.845758,0.624916
YAGO3-10,structural_rd,rd,0.573780,,,,,,,,,,,,
hetionet,structural_none,none,0.362111,,,,,,,,,,,,
hetionet,structural_r2d3,r2d3,0.369847,0.741385,0.785696,,,0.778125,0.777777,0.991797,,,,,
hetionet,structural_r3d6,r3d6,0.368801,0.741701,,0.788948,0.743719,0.778564,,,0.778100,,0.993176,0.903001,0.204300
hetionet,structural_rd,rd,0.364354,,,,,,,,,,,,
