dataset,aggregation,component,count,mean_original,mean_trained,mean_abs_delta,mean_abs_trained,positive_ratio,negative_ratio,near_zero_ratio_0.01,near_zero_ratio_0.05,min_trained,max_trained,max_abs_trained,gold_delta,gold_avg_effective_count,gold_top1_share,gold_top3_share,gold_qc_count
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,rule,154790,0.346801,0.335594,0.113858,0.335808,0.937250,0.010711,0.131443,0.161109,-0.610478,1.575624,1.575624,0.010000,5.146346,0.533772,0.839665,5528.000000
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,168315,0.000000,0.002342,0.004326,0.004326,0.514375,0.470778,0.942732,0.963889,-0.804158,0.530814,0.804158,0.010000,,,,5528.000000
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,167959,0.000000,0.002347,0.004335,0.004335,0.515465,0.471776,0.942611,0.963813,-0.804158,0.530814,0.804158,0.010000,0.352026,0.774295,0.975894,5528.000000
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,rule,518279,0.537521,0.346141,0.303139,0.353777,0.917290,0.038383,0.098266,0.136969,-2.067078,3.037388,3.037388,0.010000,27.771721,0.327684,0.601791,16528.000000
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,883207,0.000000,-0.008252,0.009223,0.009223,0.165315,0.625861,0.686961,0.970205,-1.079634,0.860058,1.079634,0.010000,,,,16528.000000
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,218207,0.000000,-0.003194,0.006054,0.006054,0.065983,0.115386,0.910470,0.969873,-1.079634,0.860058,1.079634,0.010000,1.984874,0.456455,0.706483,16528.000000
WN18RR,structural_rd,rule,76909,0.395745,0.467091,0.141109,0.494882,0.889441,0.062021,0.107543,0.190316,-2.073546,4.249626,4.249626,0.010000,13.323789,0.522590,0.755952,4645.000000
WN18RR,structural_rd,dependency_trial,45212,0.000000,0.001646,0.004041,0.004041,0.143059,0.054410,0.890781,0.982682,-0.302465,0.234521,0.302465,0.010000,,,,4645.000000
WN18RR,structural_rd,dependency_final,5482,0.000000,0.009941,0.019304,0.019304,0.755928,0.161802,0.576979,0.888179,-0.302465,0.234521,0.302465,0.010000,0.140366,0.733641,0.915204,4645.000000
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,rule,1737378,0.503003,0.311608,0.250194,0.314006,0.904502,0.071814,0.159472,0.206673,-1.688926,3.647187,3.647187,0.010000,72.318117,0.145321,0.306650,41095.000000
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_trial,3946389,0.000000,-0.001052,0.003151,0.003151,0.209465,0.312332,0.918079,0.989568,-0.500976,0.460533,0.500976,0.010000,,,,41095.000000
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_final,2068076,0.000000,-0.002006,0.006012,0.006012,0.399676,0.595951,0.843709,0.980093,-0.500976,0.460533,0.500976,0.010000,3.079888,0.395331,0.648353,41095.000000
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,rule,273472,0.394004,0.375095,0.373956,0.439463,0.716790,0.132332,0.273809,0.363076,-2.300842,5.518409,5.518409,0.010000,14.875039,0.349968,0.656827,41477.000000
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,455330,0.000000,-0.004593,0.006866,0.006866,0.159449,0.325322,0.929170,0.978260,-12.535162,2.426729,12.535162,0.010000,,,,41477.000000
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,325963,0.000000,-0.004812,0.007688,0.007688,0.122508,0.162301,0.921964,0.974874,-12.535162,2.426729,12.535162,0.010000,4.035128,0.557467,0.780751,41477.000000
YAGO3-10,structural_dep_scale,rule,990481,0.387160,0.369103,0.461867,0.406372,0.613830,0.121248,0.448579,0.549713,-2.261792,4.202267,4.202267,0.010000,8.886296,0.431576,0.824546,9085.000000
YAGO3-10,structural_dep_scale,dependency_trial,1707159,0.000000,-0.000003,0.063208,0.063208,0.189624,0.183746,0.680502,0.792242,-3.252486,2.403139,3.252486,0.010000,,,,9085.000000
YAGO3-10,structural_dep_scale,dependency_final,638610,0.000000,-0.000009,0.168969,0.168969,0.506912,0.491198,0.145904,0.444613,-3.252486,2.403139,3.252486,0.010000,2.171712,0.755371,0.933494,9085.000000
hetionet,dep_scale_surprisal_init,rule,6103910,0.457520,0.349275,0.161641,0.356920,0.816624,0.101325,0.263306,0.325561,-1.927358,3.029473,3.029473,0.010000,94.210179,0.123450,0.260043,223248.000000
hetionet,dep_scale_surprisal_init,dependency_trial,7154604,0.000000,-0.080431,0.085487,0.085487,0.059574,0.441170,0.523922,0.609187,-1.284164,0.795134,1.284164,0.010000,,,,223248.000000
hetionet,dep_scale_surprisal_init,dependency_final,3582696,0.000000,-0.160619,0.170716,0.170716,0.118968,0.881012,0.049277,0.219550,-1.284164,0.795134,1.284164,0.010000,1.062066,0.644891,0.858504,223248.000000
