dataset,aggregation,component,count,mean_original,mean_trained,mean_abs_delta,mean_abs_trained,positive_ratio,negative_ratio,near_zero_ratio_0.01,near_zero_ratio_0.05,min_trained,max_trained,max_abs_trained,dep_type
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,1433,0.000000,-0.059703,0.066211,0.066211,0.312631,0.687369,0.652477,0.736916,-0.804158,0.108189,0.804158,redundancy
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,166526,0.000000,0.002881,0.003802,0.003802,0.517211,0.469921,0.945108,0.965765,-0.777620,0.530814,0.777620,synergy
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,1594,0.000000,-0.053673,0.059524,0.059524,0.281054,0.617942,0.687578,0.763488,-0.804158,0.108189,0.804158,redundancy
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,166721,0.000000,0.002877,0.003798,0.003798,0.516606,0.469371,0.945172,0.965805,-0.777620,0.530814,0.777620,synergy
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,57019,0.000000,-0.007162,0.008203,0.008203,0.027640,0.154247,0.881917,0.968326,-1.079634,0.287000,1.079634,redundancy
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,161188,0.000000,-0.001790,0.005293,0.005293,0.079547,0.101639,0.920571,0.970420,-1.007846,0.860058,1.007846,synergy
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,419748,0.000000,-0.010059,0.010298,0.010298,0.179970,0.699601,0.605132,0.962661,-1.079634,0.287000,1.079634,redundancy
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,463459,0.000000,-0.006617,0.008251,0.008251,0.152041,0.559076,0.761073,0.977038,-1.007846,0.860058,1.007846,synergy
WN18RR,structural_rd,dependency_final,1503,0.000000,0.006490,0.012111,0.012111,0.843646,0.086494,0.732535,0.967399,-0.302465,0.197262,0.302465,redundancy
WN18RR,structural_rd,dependency_final,3979,0.000000,0.011244,0.022021,0.022021,0.722795,0.190249,0.518221,0.858256,-0.280675,0.234521,0.280675,synergy
WN18RR,structural_rd,dependency_trial,12985,0.000000,0.000781,0.001476,0.001476,0.099884,0.011013,0.966500,0.996072,-0.302465,0.197262,0.302465,redundancy
WN18RR,structural_rd,dependency_trial,32227,0.000000,0.001994,0.005075,0.005075,0.160456,0.071896,0.860272,0.977286,-0.280675,0.234521,0.280675,synergy
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_final,1112026,0.000000,-0.004207,0.005345,0.005345,0.301996,0.691313,0.863914,0.979854,-0.500976,0.355056,0.500976,redundancy
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_final,956050,0.000000,0.000553,0.006788,0.006788,0.513292,0.485031,0.820207,0.980371,-0.404637,0.460533,0.460533,synergy
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_trial,2493217,0.000000,-0.001877,0.002384,0.002384,0.134697,0.308357,0.939293,0.991014,-0.500976,0.355056,0.500976,redundancy
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,dependency_trial,1453172,0.000000,0.000364,0.004467,0.004467,0.337745,0.319151,0.881682,0.987086,-0.404637,0.460533,0.460533,synergy
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,134287,0.000000,-0.002984,0.003824,0.003824,0.071705,0.107643,0.945520,0.984541,-2.680369,1.398356,2.680369,redundancy
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_final,191676,0.000000,-0.006092,0.010396,0.010396,0.158100,0.200594,0.905460,0.968102,-12.535162,2.426729,12.535162,synergy
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,207004,0.000000,-0.003373,0.003964,0.003964,0.104022,0.359365,0.954209,0.989720,-2.680369,1.398356,2.680369,redundancy
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,dependency_trial,248326,0.000000,-0.005610,0.009286,0.009286,0.205653,0.296944,0.908298,0.968706,-12.535162,2.426729,12.535162,synergy
YAGO3-10,structural_dep_scale,dependency_final,290455,0.000000,0.020443,0.199555,0.199555,0.599074,0.397249,0.189448,0.459162,-3.252486,2.156901,3.252486,redundancy
YAGO3-10,structural_dep_scale,dependency_final,348155,0.000000,-0.017071,0.143453,0.143453,0.430024,0.569577,0.109578,0.432474,-2.341679,2.403139,2.403139,synergy
YAGO3-10,structural_dep_scale,dependency_trial,819806,0.000000,0.007243,0.070702,0.070702,0.212250,0.140744,0.712824,0.808383,-3.252486,2.156901,3.252486,redundancy
YAGO3-10,structural_dep_scale,dependency_trial,887353,0.000000,-0.006698,0.056284,0.056284,0.168721,0.223475,0.650641,0.777330,-2.341679,2.403139,2.403139,synergy
hetionet,dep_scale_surprisal_init,dependency_final,354642,0.000000,-0.181544,0.191645,0.191645,0.091597,0.908384,0.044479,0.255838,-1.284164,0.466152,1.284164,redundancy
hetionet,dep_scale_surprisal_init,dependency_final,3228054,0.000000,-0.158320,0.168417,0.168417,0.121975,0.878005,0.049804,0.215563,-1.144721,0.795134,1.144721,synergy
