dataset,cap,mean_abs_gain,median_abs_gain,p95_abs_gain,p99_abs_gain,p999_abs_gain,max_abs_gain
KG20C,5,0.14353823032900614,0.10536,0.40547,0.60841,1.28093,2.65089
KG20C,6,0.14353995359248498,0.10536,0.40547,0.60841,1.28093,2.65089
KG20C,7,0.14353710001302197,0.10536,0.40547,0.60841,1.28093,2.65089
KG20C,8,0.14353854680552264,0.10536,0.40547,0.60841,1.28093,2.65089
KG20C,9,0.1435396231269729,0.10536,0.40547,0.60841,1.28093,2.65089
KG20C,no-cap,0.14353911780818226,0.10536,0.40547,0.60841,1.28093,2.65089
WN18RR,5,0.21238765133539883,0.08068,0.55962,2.66793,2.66793,3.33261
WN18RR,6,0.21255852891351826,0.08068,0.55962,2.66793,2.66793,3.37589
WN18RR,7,0.21254557359936532,0.08068,0.55962,2.66793,2.66793,3.33261
WN18RR,8,0.21221733603920967,0.08068,0.55962,2.66793,2.66793,3.578
WN18RR,9,0.21258166797608483,0.08068,0.55962,2.66793,2.66793,3.46765
WN18RR,no-cap,0.21257125217573503,0.08068,0.55962,2.66793,2.66793,3.32577
codex-m,5,0.45452713516602905,0.33209,1.31171,2.04057,2.43564,4.30597
codex-m,6,0.45453089970629945,0.33209,1.31171,2.04037,2.4349185500000043,5.00498
codex-m,7,0.45452192480565706,0.33209,1.31171,2.04042,2.435713139999993,5.00498
codex-m,8,0.454528611039753,0.33209,1.31171,2.04036,2.43487,5.00498
codex-m,9,0.4545603708375917,0.33209,1.311823999999985,2.04042,2.43574,5.00498
codex-m,no-cap,0.4545506774457069,0.33209,1.31171,2.04055,2.4359,5.00498
FB15k-237,5,0.5206469307950459,0.44909,1.24534,1.62838,2.01983,3.94401
FB15k-237,6,0.5206441670887009,0.44909,1.24538,1.62851,2.02018,3.94401
FB15k-237,7,0.5206558456368404,0.44911,1.24538,1.62851,2.02022,3.94401
FB15k-237,8,0.5206441945366019,0.44908,1.24529,1.62847,2.02002,3.94401
FB15k-237,9,0.5206472045588846,0.4491,1.24534,1.62847,2.02007,3.94401
FB15k-237,no-cap,0.5206506700791633,0.44911,1.24538,1.62849,2.01983,3.94401
codex-l,5,0.4499296448335054,0.29955,1.5449,2.0765,2.5630761600000413,4.76188
codex-l,6,0.4499828718527056,0.29955,1.5449,2.07641,2.56347,5.54305
codex-l,7,0.4499262880865715,0.29954,1.5449,2.07631,2.5632957000000216,6.46728
codex-l,8,0.44996305460205166,0.29954,1.5449,2.07635,2.56298,6.67514
codex-l,9,0.44993017178093614,0.29954,1.5449,2.07631,2.56252,6.67514
codex-l,no-cap,0.4499331792251285,0.29953,1.5449,2.07636,2.56388,6.67514
YAGO3-10,5,0.33678052618146354,0.20387,1.20052,1.96761,4.846322960000001,7.26673
YAGO3-10,6,0.3367789027465548,0.20386,1.20055,1.96761,4.846323440000005,7.26673
YAGO3-10,7,0.3367850152692061,0.20387,1.2006,1.96761,4.846323060000017,7.26673
YAGO3-10,8,0.3367902727482843,0.20387,1.20063,1.96761,4.846322520000004,7.26673
YAGO3-10,9,0.33677493349389015,0.20387,1.20048,1.96761,4.8463239200000094,7.26673
YAGO3-10,no-cap,0.33678118198667684,0.20387,1.20055,1.96761,4.846323020000011,7.26673
