dataset,cap,baseline_cap,common_dependencies,jaccard_overlap,cap7_dependency_retention,current_dependency_retention,common_gain_spearman,common_sign_changes,common_sign_change_rate
KG20C,5,7,890804,1.0,1.0,1.0,0.9999989176864739,0,0.0
KG20C,6,7,890804,1.0,1.0,1.0,0.9999992538907285,0,0.0
KG20C,7,7,890804,1.0,1.0,1.0,1.0,0,0.0
KG20C,8,7,890803,0.9999988774186016,0.9999988774186016,1.0,0.9999995071539013,0,0.0
KG20C,9,7,890804,1.0,1.0,1.0,0.9999992892912619,0,0.0
KG20C,no-cap,7,890804,1.0,1.0,1.0,0.9999995817595179,0,0.0
WN18RR,5,7,1631178,0.9988359411883933,0.9992605910983009,0.999574721546788,0.9995213300079466,371,0.00022744298905453603
WN18RR,6,7,1631451,0.9989725245219453,0.9994278310570117,0.9995441721117881,0.9996362328887256,323,0.0001979832676556023
WN18RR,7,7,1632385,1.0,1.0,1.0,0.9999999999999999,0,0.0
WN18RR,8,7,1631414,0.9988935973759828,0.9994051648355015,0.9994878235564405,0.9996242319641234,349,0.00021392485291900156
WN18RR,9,7,1631187,0.998910571316243,0.9992661045035331,0.9996439444823039,0.9996671891020216,291,0.0001783976944396933
WN18RR,no-cap,7,1631473,0.9989921126384544,0.9994413082698016,0.9995503021369225,0.9995577691640002,327,0.0002004323700116398
codex-m,5,7,28928955,0.9998767131327162,0.9999401327732038,0.9999365727655554,0.9999548106062407,2615,9.03938631727278e-05
codex-m,6,7,28928995,0.9998780956599636,0.9999415153881414,0.9999365728532503,0.9999524120087308,2640,9.125792306300305e-05
codex-m,7,7,28930687,1.0,1.0,1.0,1.0,0,0.0
codex-m,8,7,28928972,0.9998790632158587,0.9999407203845522,0.9999383355208554,0.9999536323062145,2754,9.519868179208028e-05
codex-m,9,7,28929016,0.9998841435999984,0.9999422412609835,0.9999418956273332,0.99995322737617,2676,9.250228213776784e-05
codex-m,no-cap,7,28929071,0.9998852151595347,0.9999441423565226,0.9999410662195857,0.9999540742318996,2632,9.098114488363626e-05
FB15k-237,5,7,163149927,0.9993805308064898,0.9996926901016225,0.9996876487870904,0.9999160944668433,35451,0.00021729093387826034
FB15k-237,6,7,163150068,0.9993901303138643,0.9996935540717872,0.9996963902188569,0.9999143387531173,35894,0.00022000603763156263
FB15k-237,7,7,163200080,1.0,1.0,1.0,1.0,0,0.0
FB15k-237,8,7,163149540,0.9993866511300553,0.9996903187792555,0.999696144211652,0.9999177166402256,34978,0.0002143922685899084
FB15k-237,9,7,163149525,0.9993853838564677,0.9996902268675358,0.9996949680656118,0.9999168979496572,37084,0.0002273006924169715
FB15k-237,no-cap,7,163150521,0.9993875730855342,0.9996963298057207,0.9996910557029203,0.9999191827115479,35422,0.00021711239279462676
codex-l,5,7,10482716,0.9994672160532342,0.9997357299665719,0.9997313441290967,0.9997410040433872,4000,0.00038158049879439643
codex-l,6,7,10482577,0.9994538679033457,0.9997224735484389,0.9997312452225214,0.9997499612476562,3737,0.0003564963081120225
codex-l,7,7,10485487,1.0,1.0,1.0,1.0,0,0.0
codex-l,8,7,10482707,0.9994595921675188,0.9997348716373402,0.9997245745234296,0.9997464871277699,3917,0.00037366302425508984
codex-l,9,7,10482632,0.9994482485873228,0.9997277188937433,0.9997203774637206,0.9997446708134892,4121,0.00039312645908012417
codex-l,no-cap,7,10482756,0.9994748415943764,0.999739544763157,0.9997351589089463,0.9997569001459873,3854,0.0003676514077023256
YAGO3-10,5,7,20130834,0.999913970231117,0.9999572316190961,0.9999567349114246,0.9999703215896236,680,3.377902773427072e-05
YAGO3-10,6,7,20130844,0.9999173476051767,0.9999577283482588,0.9999596158428489,0.9999693643291322,746,3.705756201776736e-05
YAGO3-10,7,7,20131695,1.0,1.0,1.0,1.0,0,0.0
YAGO3-10,8,7,20130882,0.9999165530944347,0.9999596159190769,0.9999569336971169,0.9999699308532974,706,3.507049517254137e-05
YAGO3-10,9,7,20130819,0.9999172481688177,0.9999564865253522,0.9999607582285152,0.9999700127421464,749,3.7206633272098866e-05
YAGO3-10,no-cap,7,20130863,0.9999171490161868,0.9999586721336678,0.9999584734502538,0.9999699068248867,710,3.526922814983143e-05
