dataset,cap,singleton_evidence_saturated,singleton_evidence_total,singleton_saturation_rate,joint_evidence_saturated,joint_evidence_total,joint_saturation_rate
KG20C,5,0,154790,0.0,0,890804,0.0
KG20C,6,0,154790,0.0,0,890804,0.0
KG20C,7,0,154790,0.0,0,890804,0.0
KG20C,8,0,154790,0.0,0,890803,0.0
KG20C,9,0,154790,0.0,0,890804,0.0
KG20C,no-cap,0,154790,0.0,0,890804,0.0
WN18RR,5,0,76909,0.0,3,1631872,1.8383794807435877e-06
WN18RR,6,0,76909,0.0,0,1632195,0.0
WN18RR,7,0,76909,0.0,0,1632385,0.0
WN18RR,8,0,76909,0.0,0,1632250,0.0
WN18RR,9,0,76909,0.0,0,1631768,0.0
WN18RR,no-cap,0,76909,0.0,0,1632207,0.0
codex-m,5,0,518279,0.0,9,28930790,3.1108725340718314e-07
codex-m,6,0,518279,0.0,1,28930830,3.456520258838063e-08
codex-m,7,0,518279,0.0,0,28930687,0.0
codex-m,8,0,518279,0.0,0,28930756,0.0
codex-m,9,0,518279,0.0,0,28930697,0.0
codex-m,no-cap,0,518279,0.0,0,28930776,0.0
FB15k-237,5,11,1737378,6.331379814870454e-06,20,163200903,1.2254834153705633e-07
FB15k-237,6,1,1737378,5.755799831700413e-07,0,163199617,0.0
FB15k-237,7,1,1737378,5.755799831700413e-07,0,163200080,0.0
FB15k-237,8,0,1737378,0.0,0,163199129,0.0
FB15k-237,9,0,1737378,0.0,0,163199306,0.0
FB15k-237,no-cap,0,1737378,0.0,0,163200941,0.0
codex-l,5,0,273472,0.0,16,10485533,1.5259119398126924e-06
codex-l,6,0,273472,0.0,5,10485395,4.768537570592238e-07
codex-l,7,0,273472,0.0,2,10485487,1.9073982925161226e-07
codex-l,8,0,273472,0.0,0,10485595,0.0
codex-l,9,0,273472,0.0,0,10485564,0.0
codex-l,no-cap,0,273472,0.0,0,10485533,0.0
YAGO3-10,5,0,990481,0.0,6,20131705,2.980373495439159e-07
YAGO3-10,6,0,990481,0.0,0,20131657,0.0
YAGO3-10,7,0,990481,0.0,0,20131695,0.0
YAGO3-10,8,0,990481,0.0,0,20131749,0.0
YAGO3-10,9,0,990481,0.0,0,20131609,0.0
YAGO3-10,no-cap,0,990481,0.0,0,20131699,0.0
