dataset,source_group,config_id,config_label,stage_or_source,label,status,mrr,h1,h10,completed_relations,total_relations,path
KG20C,application,,,app_rules_maxplus,rules + maxplus,done,0.214810,0.142857,0.360768,,,data/KG20C/application/eval-maxplus.log
KG20C,application,,,app_rules_noisyor,rules + noisyor,done,0.229772,0.156686,0.375940,,,data/KG20C/application/eval-noisyor.log
KG20C,application,,,app_base_ranker_maxplus,base ranker + maxplus,done,0.193172,0.127282,0.321160,,,data/KG20C/application/eval_base_ranker_maxplus.log
KG20C,application,,,app_base_ranker_noisyor,base ranker + noisyor,done,0.220200,0.147825,0.363588,,,data/KG20C/application/eval_base_ranker_noisyor.log
KG20C,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage1,aggregation stage1,done,0.210781,0.130773,0.355263,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
KG20C,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage2,aggregation stage2,done,0.212952,0.132787,0.355397,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
KG20C,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage1,aggregation stage1,done,0.210781,0.130773,0.355263,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
KG20C,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage2,aggregation stage2,done,0.212398,0.132519,0.354458,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
KG20C,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage1,aggregation stage1,done,0.210781,0.130773,0.355263,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
KG20C,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage2,aggregation stage2,done,0.211151,0.131310,0.353652,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
KG20C,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,done,0.210781,0.130773,0.355263,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
KG20C,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,done,0.212917,0.133056,0.353921,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
KG20C,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,done,0.210781,0.130773,0.355263,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
KG20C,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,done,0.211750,0.131310,0.353383,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
KG20C,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,done,0.211184,0.130773,0.353786,5,5,data/KG20C/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
