dataset,config_id,config_label,config_status,completed_relations,total_relations,failed_relations,experiment_dir,stage1_mrr,stage1_h1,stage1_h10,stage2_mrr,stage2_h1,stage2_h10,delta_stage2_minus_stage1_mrr,delta_stage2_minus_stage1_h1,delta_stage2_minus_stage1_h10,app_rules_maxplus_status,app_rules_maxplus_mrr,app_rules_maxplus_h1,app_rules_maxplus_h10,app_rules_noisyor_status,app_rules_noisyor_mrr,app_rules_noisyor_h1,app_rules_noisyor_h10,app_base_ranker_maxplus_status,app_base_ranker_maxplus_mrr,app_base_ranker_maxplus_h1,app_base_ranker_maxplus_h10,app_base_ranker_noisyor_status,app_base_ranker_noisyor_mrr,app_base_ranker_noisyor_h1,app_base_ranker_noisyor_h10
KG20C,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
KG20C,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
KG20C,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
KG20C,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
KG20C,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
KG20C,cfg_auto_ratio,synergy + redundancy | auto_ratio,not_started,0,5,,,,,,,,,,,,done,0.214810,0.142857,0.360768,done,0.229772,0.156686,0.375940,done,0.217612,0.149033,0.355666,done,0.234384,0.162325,0.378357
codex-m,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
codex-m,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
codex-m,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
codex-m,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
codex-m,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
codex-m,cfg_auto_ratio,synergy + redundancy | auto_ratio,not_started,0,51,,,,,,,,,,,,done,0.319487,0.248909,0.455145,done,0.300655,0.226457,0.447532,done,0.315796,0.246242,0.447726,done,0.289789,0.217244,0.431966
WN18RR,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
WN18RR,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
WN18RR,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
WN18RR,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
WN18RR,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
WN18RR,cfg_auto_ratio,synergy + redundancy | auto_ratio,not_started,0,11,,,,,,,,,,,,done,0.496968,0.457722,0.574027,done,0.459271,0.406669,0.567326,done,0.494614,0.456286,0.570996,done,0.456182,0.403957,0.563657
FB15k-237,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
FB15k-237,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
FB15k-237,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
FB15k-237,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
FB15k-237,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
FB15k-237,cfg_auto_ratio,synergy + redundancy | auto_ratio,not_started,0,237,,,,,,,,,,,,done,0.329486,0.244747,0.502614,done,0.337685,0.252468,0.506743,done,0.324267,0.240277,0.494796,done,0.326827,0.244063,0.490130
codex-l,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
codex-l,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
codex-l,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
codex-l,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
codex-l,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
codex-l,cfg_auto_ratio,synergy + redundancy | auto_ratio,not_started,0,69,,,,,,,,,,,,done,0.311458,0.253609,0.425185,done,0.302914,0.241771,0.423993,done,0.309864,0.252433,0.421315,done,0.300707,0.239958,0.421037
YAGO3-10,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,not_started,0,37,,,,,,,,,,,,done,0.554384,0.487000,0.679200,done,0.529551,0.449900,0.675400,done,0.551932,0.484100,0.677400,done,0.524495,0.446100,0.668500
YAGO3-10,cfg_synergy_only,synergy only | auto_sqrt,not_started,0,37,,,,,,,,,,,,done,0.554384,0.487000,0.679200,done,0.529551,0.449900,0.675400,done,0.551932,0.484100,0.677400,done,0.524495,0.446100,0.668500
YAGO3-10,cfg_redundancy_only,redundancy only | auto_sqrt,not_started,0,37,,,,,,,,,,,,done,0.554384,0.487000,0.679200,done,0.529551,0.449900,0.675400,done,0.551932,0.484100,0.677400,done,0.524495,0.446100,0.668500
YAGO3-10,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,not_started,0,37,,,,,,,,,,,,done,0.554384,0.487000,0.679200,done,0.529551,0.449900,0.675400,done,0.551932,0.484100,0.677400,done,0.524495,0.446100,0.668500
