dataset,relation,experiment,group,source_dir,valid_source,test_source,valid_mrr,valid_h@1,valid_h@10,test_mrr,test_h@1,test_h@10,num_test_samples
KG20C,0,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.48717,0.38961,0.63853,0.48681,0.40104,0.63750,480
KG20C,1,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.24160,0.15730,0.42135,0.24791,0.15422,0.43193,830
KG20C,2,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.17664,0.09635,0.34551,0.19286,0.10768,0.36477,599
KG20C,3,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.13379,0.08516,0.23039,0.11786,0.07019,0.20920,1446
KG20C,4,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.40957,0.31410,0.58974,0.41148,0.31165,0.59621,369
codex-m,0,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.08669,0.05747,0.12989,0.11902,0.08594,0.18192,448
codex-m,1,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.40393,0.29982,0.60758,0.43829,0.34906,0.61664,583
codex-m,2,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.30338,0.23272,0.44358,0.29671,0.22613,0.43700,3635
codex-m,3,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.49012,0.42651,0.60241,0.49098,0.41858,0.62967,829
codex-m,4,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.19326,0.12241,0.34129,0.19111,0.12249,0.33434,498
codex-m,5,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.47910,0.42991,0.55607,0.47079,0.40909,0.57197,132
codex-m,6,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.22129,0.15068,0.34932,0.17061,0.10000,0.28824,85
codex-m,7,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.80167,0.68543,0.90397,0.80716,0.72222,0.90404,297
codex-m,8,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.17999,0.10976,0.34146,0.16487,0.10473,0.30743,148
codex-m,9,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.63287,0.55882,0.77941,0.61911,0.51266,0.83544,79
codex-m,10,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.25659,0.17304,0.43534,0.28650,0.20305,0.46531,591
codex-m,11,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.48961,0.44243,0.58202,0.49262,0.45652,0.56438,598
codex-m,12,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.61429,0.50000,0.70000,0.30921,0.12500,0.56250,8
codex-m,13,redundancy,stage2,redundancy,best_valid_stage2,test_after_stage2,0.27899,0.21728,0.38148,0.24960,0.18289,0.37021,339
codex-m,14,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.47666,0.41325,0.61514,0.45400,0.38889,0.57071,297
codex-m,15,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.23768,0.15745,0.40000,0.22251,0.13900,0.38224,259
codex-m,16,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.33039,0.23913,0.47826,0.31991,0.23684,0.47368,19
codex-m,17,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.16546,0.08470,0.34153,0.14781,0.07988,0.29882,169
codex-m,18,redundancy,stage2,redundancy,best_valid_stage2,test_after_stage2,0.54406,0.48370,0.65761,0.52060,0.42609,0.68261,115
codex-m,19,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.61543,0.57143,0.67857,0.65533,0.58333,0.77778,18
codex-m,20,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.45686,0.38235,0.59559,0.44629,0.36090,0.60150,133
codex-m,21,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.22725,0.15730,0.35955,0.17128,0.11058,0.26923,104
codex-m,22,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.31460,0.24032,0.44839,0.33304,0.25577,0.47885,260
codex-m,23,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.16634,0.09821,0.28571,0.11691,0.05634,0.23239,71
codex-m,24,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.37185,0.28571,0.54396,0.35329,0.28571,0.48352,91
codex-m,25,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.28731,0.20149,0.47388,0.29278,0.20833,0.48750,120
codex-m,26,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.64384,0.50000,0.87500,0.68145,0.54545,0.90909,11
codex-m,27,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.36181,0.30216,0.46043,0.34740,0.28175,0.44048,126
codex-m,28,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.27206,0.18182,0.51515,0.22005,0.16129,0.30645,31
codex-m,29,R,baseline,structural_none,best_valid_stage1,test_after_stage1,1.00000,1.00000,1.00000,0.96706,0.95349,0.97674,43
codex-m,30,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.37137,0.36842,0.36842,0.20311,0.20000,0.20000,15
codex-m,31,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.45558,0.43333,0.46667,0.68334,0.67500,0.70000,20
codex-m,32,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.25956,0.17857,0.48214,0.28263,0.22500,0.52500,20
codex-m,33,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.85715,0.84146,0.89024,0.94340,0.94340,0.94340,53
codex-m,34,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.50006,0.50000,0.50000,0.50006,0.50000,0.50000,1
codex-m,35,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.65877,0.55882,0.79412,0.40422,0.23077,0.65385,13
codex-m,36,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.09701,0.00000,0.33333,0.00004,0.00000,0.00000,3
codex-m,37,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.38624,0.21875,0.68750,0.35138,0.20833,0.66667,12
codex-m,38,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.27080,0.20000,0.40000,0.50006,0.50000,0.50000,1
codex-m,39,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.36352,0.25000,0.56250,0.44557,0.37500,0.66667,12
codex-m,40,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.50006,0.50000,0.50000,0.09700,0.06250,0.12500,8
codex-m,41,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.43201,0.28571,0.57143,0.50718,0.39286,0.64286,14
codex-m,42,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.01139,0.00000,0.00000,0.16673,0.00000,0.25000,2
codex-m,43,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0
codex-m,44,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
codex-m,45,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.66671,0.66667,0.66667,0.00000,0.00000,0.00000,0
WN18RR,0,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.18390,0.12905,0.28918,0.18343,0.12270,0.30056,1251
WN18RR,1,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.94834,0.94295,0.95640,0.95973,0.95345,0.96927,1074
WN18RR,2,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.31613,0.26168,0.43458,0.36128,0.27459,0.52869,122
WN18RR,3,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.63423,0.58537,0.70732,0.65115,0.61607,0.69643,56
WN18RR,4,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.34293,0.26740,0.49267,0.32862,0.23715,0.50395,253
WN18RR,5,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.39806,0.35714,0.47143,0.38044,0.30702,0.50439,114
WN18RR,6,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.26597,0.18506,0.44156,0.21926,0.14535,0.36047,172
WN18RR,7,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.41976,0.34091,0.56818,0.35078,0.31250,0.50000,24
WN18RR,8,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.25111,0.22059,0.30882,0.38065,0.32692,0.48077,26
WN18RR,9,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.93131,0.93023,0.93023,0.97436,0.97436,0.97436,39
