dataset,experiment,group,source_dir,metric_source,mrr,h@1,h@10,mrr_raw,h@1_raw,h@10_raw,time_train,time_valid,time_total,time_load_dataloaders,time_other,time_sweep,num_relations,total_test_triples_used_for_weight
KG20C,R,baseline,structural_rd,test_after_stage1,0.22867,0.15588,0.36923,0.23260,0.15830,0.37433,55.67626,90.40777,268.16677,37.82665,84.25609,164.64558,5,3724
KG20C,R2,baseline,structural_r2d3,test_after_stage1,0.22760,0.15481,0.36856,0.23235,0.15803,0.37487,923.76845,275.36200,1400.71852,39.74082,161.84724,831.87128,5,3724
KG20C,R3,baseline,structural_r3d6,test_after_stage1,0.22769,0.15467,0.36869,0.23235,0.15789,0.37500,943.24244,241.07020,1403.43131,37.76590,181.35277,838.88755,5,3724
KG20C,rd,stage2,structural_rd,test_after_stage2,0.23213,0.15951,0.37191,0.22889,0.15736,0.36372,55.67626,90.40777,268.16677,37.82665,84.25609,164.64558,5,3724
KG20C,r2d3,stage2,structural_r2d3,test_after_stage2,0.22841,0.15682,0.36869,0.23115,0.15803,0.37379,923.76845,275.36200,1400.71852,39.74082,161.84724,831.87128,5,3724
KG20C,r3d6,stage2,structural_r3d6,test_after_stage2,0.22822,0.15642,0.36950,0.23122,0.15749,0.37540,943.24244,241.07020,1403.43131,37.76590,181.35277,838.88755,5,3724
KG20C,synergy,stage2,synergy,test_after_stage2,0.23207,0.15951,0.37205,0.22889,0.15736,0.36372,60.51112,251.27159,675.73714,85.51481,278.43963,412.87872,5,3724
KG20C,redundancy,stage2,redundancy,test_after_stage2,0.22944,0.15709,0.36976,0.23076,0.15776,0.36909,62.51537,265.14318,659.92746,71.64536,260.62354,385.97847,5,3724
KG20C,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.23284,0.16031,0.37178,0.22725,0.15642,0.35647,63.17577,260.63742,711.49615,94.28683,293.39613,418.39022,5,3724
KG20C,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.23362,0.16071,0.37393,0.23173,0.16031,0.36762,65.43479,244.69175,684.47377,83.91372,290.43351,417.50341,5,3724
KG20C,pos_auto_ratio,stage2,pos_auto_ratio,test_after_stage2,0.23569,0.16179,0.37594,0.23582,0.16192,0.37352,77.07486,10252.14258,50284.97350,81.32984,39874.42621,50043.98240,5,3724
codex-m,R,baseline,structural_rd,test_after_stage1,0.33936,0.27122,0.47444,0.33444,0.26714,0.46601,364.19200,357.66407,1146.90596,101.04265,324.00724,612.72864,46,10311
codex-m,R2,baseline,structural_r2d3,test_after_stage1,0.34279,0.27572,0.47677,0.33944,0.27335,0.46863,7629.91373,1156.59108,9688.61227,96.80625,805.30121,4883.89326,46,10311
codex-m,R3,baseline,structural_r3d6,test_after_stage1,0.34235,0.27466,0.47692,0.33877,0.27252,0.46838,7746.56592,1231.23462,9904.00474,98.74632,827.45788,4991.79922,46,10311
codex-m,rd,stage2,structural_rd,test_after_stage2,0.34225,0.27383,0.47808,0.33664,0.26869,0.46858,364.19200,357.66407,1146.90596,101.04265,324.00724,612.72864,46,10311
codex-m,r2d3,stage2,structural_r2d3,test_after_stage2,0.34312,0.27572,0.47832,0.33987,0.27320,0.47052,7629.91373,1156.59108,9688.61227,96.80625,805.30121,4883.89326,46,10311
codex-m,r3d6,stage2,structural_r3d6,test_after_stage2,0.34343,0.27621,0.47813,0.33930,0.27301,0.47052,7746.56592,1231.23462,9904.00474,98.74632,827.45788,4991.79922,46,10311
codex-m,synergy,stage2,synergy,test_after_stage2,0.34074,0.27199,0.47716,0.33571,0.26753,0.46800,531.93060,57582.56924,101379.11859,192.44792,43072.17083,50754.71368,46,10311
codex-m,redundancy,stage2,redundancy,test_after_stage2,0.34152,0.27340,0.47852,0.33653,0.26860,0.47032,39999.86108,57472.45263,101476.81785,194.47936,3810.02478,50799.12318,46,10311
codex-m,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.33497,0.26801,0.46916,0.31895,0.25221,0.45034,70887.85096,20353.17862,101838.58966,221.91630,10375.64377,50990.23538,46,10311
codex-m,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.33370,0.26554,0.46591,0.31018,0.24391,0.43939,389.83693,613.17162,1932.41832,150.21875,779.19102,1022.80993,46,10311
codex-m,pos_auto_ratio,stage2,pos_auto_ratio,test_after_stage2,0.34086,0.27020,0.48070,0.33858,0.27005,0.47120,311.30688,535.18997,1774.17704,159.79895,767.88124,945.74585,46,10311
WN18RR,R,baseline,structural_rd,test_after_stage1,0.49697,0.45549,0.57451,0.49204,0.45246,0.56429,511.98640,263.46242,1106.87857,126.22132,205.20842,565.42488,11,3134
WN18RR,R2,baseline,structural_r2d3,test_after_stage1,0.49688,0.45597,0.57387,0.49206,0.45294,0.56429,605.64569,231.83267,1161.22755,125.97120,197.77798,594.01034,11,3134
WN18RR,R3,baseline,structural_r3d6,test_after_stage1,0.49623,0.45485,0.57387,0.49019,0.45054,0.56254,621.77895,236.98077,1198.20356,123.20374,216.24010,608.44140,11,3134
WN18RR,rd,stage2,structural_rd,test_after_stage2,0.50219,0.45884,0.58376,0.49408,0.45325,0.56860,511.98640,263.46242,1106.87857,126.22132,205.20842,565.42488,11,3134
WN18RR,r2d3,stage2,structural_r2d3,test_after_stage2,0.49834,0.45485,0.58041,0.48989,0.45118,0.56110,605.64569,231.83267,1161.22755,125.97120,197.77798,594.01034,11,3134
WN18RR,r3d6,stage2,structural_r3d6,test_after_stage2,0.49760,0.45357,0.57977,0.48796,0.44799,0.56063,621.77895,236.98077,1198.20356,123.20374,216.24010,608.44140,11,3134
WN18RR,synergy,stage2,synergy,test_after_stage2,0.50117,0.45772,0.58200,0.49499,0.45485,0.56796,511.64732,270.02299,1109.46075,119.36414,208.42631,565.24341,11,3134
WN18RR,redundancy,stage2,redundancy,test_after_stage2,0.50029,0.45692,0.58248,0.49492,0.45405,0.57147,457.46178,316.32839,1222.42359,186.97381,261.65961,620.34572,11,3134
WN18RR,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.50151,0.45820,0.58504,0.49604,0.45676,0.56924,488.73633,320.80965,1241.35280,172.23540,259.57142,632.53672,11,3134
WN18RR,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.50152,0.45772,0.58376,0.48444,0.43906,0.56796,566.66979,323.88993,1335.31466,174.98077,269.77417,681.28655,11,3134
