dataset,order,possible,observed,support_qualified,significant,observed_over_possible,qualified_over_observed,significant_over_qualified
KG20C,pair,623750,1870,1538,34,0.00299800,0.82245989,0.02210663
KG20C,three_rule_combination,103542500,863,596,0,0.00000833,0.69061414,0.00000000
WN18RR,pair,1141127,43874,42397,4405,0.03844796,0.96633542,0.10389886
WN18RR,three_rule_combination,184447944,467552,457533,130,0.00253487,0.97857137,0.00028413
codex-m,pair,3593667,274242,154210,17085,0.07631258,0.56231358,0.11079048
codex-m,three_rule_combination,584791978,4384527,2043217,573,0.00749758,0.46600625,0.00028044
FB15k-237,pair,21474159,4666422,2827144,834635,0.21730406,0.60584834,0.29522196
FB15k-237,three_rule_combination,3412486019,191619558,89918377,188611,0.05615248,0.46925469,0.00209762
codex-l,pair,3910236,199515,105603,14087,0.05102377,0.52929855,0.13339583
codex-l,three_rule_combination,627825832,2117485,977919,1063,0.00337273,0.46183043,0.00108700
YAGO3-10,pair,3374419,201799,120180,18734,0.05980259,0.59554309,0.15588284
YAGO3-10,three_rule_combination,547952325,2531837,1148813,2203,0.00462054,0.45374682,0.00191763
ALL_WEIGHTED,pair,34117358,5387722,3251072,888980,0.15791733,0.60342237,0.27344211
ALL_WEIGHTED,three_rule_combination,5461046598,201121822,94546455,192580,0.03682844,0.47009546,0.00203688
