dataset,relation,selected_rules,possible_pairs,observed_pairs,support_qualified_pairs,significant_pairs,significant_pairs_positive,significant_pairs_negative,observed_pairs_over_possible,qualified_pairs_over_observed,significant_pairs_over_qualified,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,0,500,124750,21977,11447,2310,0,2310,0.1761683366733467,0.5208627201164854,0.20179959814798637,20708500,452622,136347,738,0,738,0.02185682207789072,0.30123811922531385,0.005412660344562037
FB15k-237,1,500,124750,14588,10662,1279,1133,146,0.11693787575150301,0.7308746915272827,0.11995873194522604,20708500,236014,150552,191,189,2,0.011396962599898593,0.6378943621988526,0.001268664647430788
FB15k-237,2,500,124750,10367,5422,661,191,470,0.08310220440881763,0.5230056911353332,0.12191073404647731,20708500,84885,24789,13,0,13,0.004099041456406789,0.2920303940625552,0.0005244261567630804
FB15k-237,3,500,124750,1263,589,34,7,27,0.010124248496993988,0.4663499604117181,0.057724957555178265,20708500,1355,410,13,1,12,6.543206895719149e-05,0.3025830258302583,0.03170731707317073
FB15k-237,4,500,124750,32264,23821,11554,0,11554,0.25862925851703406,0.7383151500123977,0.4850342135090886,20708500,1015093,580163,38237,0,38237,0.04901818094019364,0.5715367951507891,0.06590733983380533
FB15k-237,5,500,124750,32781,24211,10834,2,10832,0.2627735470941884,0.738568072969098,0.4474825492544711,20708500,1049600,597996,30217,0,30217,0.050684501533186856,0.5697370426829268,0.05053043833069117
FB15k-237,6,500,124750,1472,434,48,36,12,0.011799599198396793,0.29483695652173914,0.11059907834101383,20708500,1692,219,2,2,0,8.170557983436754e-05,0.12943262411347517,0.0091324200913242
FB15k-237,7,500,124750,770,163,3,0,3,0.006172344689378758,0.21168831168831168,0.018404907975460124,20708500,301,28,0,0,0,1.4535094284955452e-05,0.09302325581395349,0.0
FB15k-237,8,500,124750,606,151,12,1,11,0.004857715430861723,0.24917491749174916,0.07947019867549669,20708500,155,14,0,0,0,7.4848492165053e-06,0.09032258064516129,0.0
FB15k-237,9,500,124750,1246,332,82,0,82,0.009987975951903807,0.2664526484751204,0.2469879518072289,20708500,1254,120,2,0,2,6.0554844629017074e-05,0.09569377990430622,0.016666666666666666
