dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
codex-m,0,500,20708500,865,122,0,0,0,4.1770287563077966e-05,0.14104046242774568,0.0
codex-m,1,500,20708500,1282,81,0,0,0,6.190694642296642e-05,0.06318252730109204,0.0
codex-m,10,500,20708500,2607,705,3,1,2,0.00012589033488664075,0.27042577675489066,0.00425531914893617
codex-m,11,500,20708500,20009,2927,52,1,51,0.0009662215998261583,0.14628417212254485,0.01776563033823027
codex-m,12,63,39711,12172,7992,0,0,0,0.30651456775200825,0.6565888925402563,0.0
codex-m,13,500,20708500,24685,7125,7,6,1,0.0011920225994156988,0.2886368239821754,0.0009824561403508772
codex-m,14,500,20708500,40312,6304,56,0,56,0.0019466402684887847,0.15638023417344712,0.008883248730964468
codex-m,15,500,20708500,36105,13493,17,17,0,0.001743486973947896,0.3737155518626229,0.0012599125472467206
codex-m,16,290,4022880,68388,24990,2,2,0,0.016999761364992243,0.3654149850851027,8.003201280512204e-05
codex-m,17,500,20708500,23201,6270,1,0,1,0.0011203612043363836,0.270246972113271,0.0001594896331738437
codex-m,18,500,20708500,130722,35484,35,0,35,0.00631248038245165,0.27144627530178544,0.0009863600495998196
codex-m,19,500,20708500,1035022,467144,44,0,44,0.04998053939203709,0.451337266261007,9.418937201376878e-05
codex-m,2,500,20708500,15,1,0,0,0,7.243402467585774e-07,0.06666666666666667,0.0
codex-m,20,500,20708500,57145,15227,17,0,17,0.0027594948934012604,0.2664625076559629,0.0011164379063505615
codex-m,21,500,20708500,205106,59972,108,81,27,0.009904435376777652,0.29239515177517966,0.0018008403921830186
codex-m,22,500,20708500,54556,14526,78,64,14,0.00263447376681073,0.26625852335215194,0.0053696819496076
codex-m,23,500,20708500,75397,16022,15,15,0,0.0036408721056570975,0.21250182367998727,0.0009362127075271502
codex-m,24,500,20708500,41796,13305,1,1,0,0.0020183016635681,0.31833189778926213,7.51597143930853e-05
codex-m,25,500,20708500,27591,3781,0,0,0,0.0013323514498877272,0.13703743974484434,0.0
codex-m,26,185,1038220,12645,6029,4,0,4,0.012179499528038373,0.476789244760775,0.0006634599436059048
codex-m,27,500,20708500,32397,8871,6,0,6,0.0015644300649491755,0.2738216501527919,0.0006763611768684477
codex-m,28,130,357760,2583,1851,4,4,0,0.00721992397137746,0.7166085946573751,0.0021609940572663426
codex-m,29,500,20708500,297946,88771,71,29,42,0.014387618610715407,0.2979432514616743,0.000799810749005869
codex-m,3,500,20708500,10821,2063,7,0,7,0.0005225390540116378,0.19064781443489512,0.0033931168201648087
codex-m,30,137,419220,43693,39315,0,0,0,0.10422451218930394,0.8998008834367061,0.0
codex-m,31,3,1,0,0,0,0,0,0.0,0.0,0.0
codex-m,32,207,1456935,25269,8778,0,0,0,0.017343944650928148,0.3473821678736792,0.0
codex-m,33,7,35,18,6,0,0,0,0.5142857142857142,0.3333333333333333,0.0
codex-m,34,33,5456,1678,1014,0,0,0,0.30755131964809385,0.6042908224076281,0.0
codex-m,35,500,20708500,1044945,511738,1,0,1,0.05045971460994278,0.48972721052304186,1.9541249623830946e-06
codex-m,36,2,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,37,89,113564,20371,9988,0,0,0,0.17937902856539045,0.4903048451229689,0.0
codex-m,38,30,4060,1251,737,0,0,0,0.30812807881773396,0.5891286970423661,0.0
codex-m,39,477,17974950,730023,576971,0,0,0,0.04061335358373737,0.7903463315539373,0.0
codex-m,4,500,20708500,2745,527,1,1,0,0.00013255426515681966,0.19198542805100183,0.0018975332068311196
codex-m,40,28,3276,383,135,0,0,0,0.11691086691086691,0.3524804177545692,0.0
codex-m,41,111,221815,34222,10139,0,0,0,0.1542817212541983,0.29627140435976856,0.0
codex-m,42,30,4060,3654,3654,0,0,0,0.9,1.0,0.0
codex-m,43,13,286,282,197,0,0,0,0.986013986013986,0.6985815602836879,0.0
codex-m,44,9,84,84,78,0,0,0,1.0,0.9285714285714286,0.0
codex-m,45,11,165,165,165,0,0,0,1.0,1.0,0.0
codex-m,46,0,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,47,0,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,48,0,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,49,0,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,5,500,20708500,36273,5352,14,0,14,0.0017515995847115918,0.14754776279877596,0.002615844544095665
codex-m,50,0,0,0,0,0,0,0,0.0,0.0,0.0
codex-m,6,500,20708500,146062,56589,21,20,1,0.007053239008136755,0.3874313647629089,0.00037109685627948895
codex-m,7,500,20708500,277,12,0,0,0,1.337614989014173e-05,0.04332129963898917,0.0
codex-m,8,500,20708500,33032,5726,7,0,7,0.0015950938020619552,0.17334705739888592,0.0012224938875305623
codex-m,9,500,20708500,46732,9040,1,0,1,0.002256657894101456,0.19344346486347685,0.00011061946902654867
codex-m,ALL,15355,584791978,4384527,2043217,573,242,331,0.007497584038336449,0.46600625335412466,0.00028044010988553835
