dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,0,500,20708500,452622,136347,738,0,738,0.02185682207789072,0.30123811922531385,0.005412660344562037
FB15k-237,1,500,20708500,236014,150552,191,189,2,0.011396962599898593,0.6378943621988526,0.001268664647430788
FB15k-237,2,500,20708500,84885,24789,13,0,13,0.004099041456406789,0.2920303940625552,0.0005244261567630804
FB15k-237,3,500,20708500,1355,410,13,1,12,6.543206895719149e-05,0.3025830258302583,0.03170731707317073
FB15k-237,4,500,20708500,1015093,580163,38237,0,38237,0.04901818094019364,0.5715367951507891,0.06590733983380533
FB15k-237,5,500,20708500,1049600,597996,30217,0,30217,0.050684501533186856,0.5697370426829268,0.05053043833069117
FB15k-237,6,500,20708500,1692,219,2,2,0,8.170557983436754e-05,0.12943262411347517,0.0091324200913242
FB15k-237,7,500,20708500,301,28,0,0,0,1.4535094284955452e-05,0.09302325581395349,0.0
FB15k-237,8,500,20708500,155,14,0,0,0,7.4848492165053e-06,0.09032258064516129,0.0
FB15k-237,9,500,20708500,1254,120,2,0,2,6.0554844629017074e-05,0.09569377990430622,0.016666666666666666
FB15k-237,10,500,20708500,19983,1345,1,0,1,0.0009649660767317768,0.06730721112946005,0.0007434944237918215
FB15k-237,11,500,20708500,644844,135756,1262,4,1258,0.03113909747205254,0.21052533636042206,0.009296090043902295
FB15k-237,12,500,20708500,58638,29333,79,16,63,0.002831590892628631,0.5002387530270473,0.0026932124228684416
FB15k-237,13,500,20708500,99,4,0,0,0,4.780645628606611e-06,0.04040404040404041,0.0
FB15k-237,14,500,20708500,182055,34903,204,4,200,0.008791317574908853,0.19171678888248056,0.0058447697905624155
FB15k-237,15,500,20708500,58171,20662,88,20,68,0.002809039766279547,0.35519416891578276,0.004259026231729746
FB15k-237,16,404,10908404,6261259,3955082,13159,13158,1,0.5739848835815029,0.6316751950366531,0.0033271118019803383
