dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
WN18RR,0,500,20708500,7384,7158,14,11,3,0.0003565685588043557,0.9693932827735645,0.0019558535903883767
WN18RR,1,500,20708500,474,474,1,1,0,2.2889151797571045e-05,1.0,0.002109704641350211
WN18RR,10,6,20,2,2,0,0,0,0.1,1.0,0.0
WN18RR,2,500,20708500,1319,1245,0,0,0,6.369365236497091e-05,0.9438968915845337,0.0
WN18RR,3,500,20708500,38916,38868,27,27,0,0.0018792283361904532,0.9987665741597287,0.0006946588453226305
WN18RR,4,500,20708500,9630,9581,17,15,2,0.00046502643841900667,0.9949117341640706,0.0017743450579271475
WN18RR,5,500,20708500,59064,50815,14,3,11,0.0028521621556365745,0.8603379385073818,0.00027550920003935846
WN18RR,6,500,20708500,3507,3481,6,1,5,0.00016935074969215538,0.99258625605931,0.0017236426314277506
WN18RR,7,307,4775385,22247,21426,13,0,13,0.004658681970144816,0.9630961477952084,0.0006067394754037151
WN18RR,8,439,14004539,25540,25015,5,0,5,0.0018236944464933833,0.9794440093970243,0.0001998800719568259
WN18RR,9,500,20708500,299469,299468,33,11,22,0.014461163290436294,0.9999966607562052,0.00011019541319940695
WN18RR,ALL,4752,184447944,467552,457533,130,69,61,0.0025348723865417553,0.9785713674628704,0.00028413251066043325
