dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
WN18RR,0,100,161700,11,11,0,0,0,6.802721088435374e-05,1.0,0.0
WN18RR,1,100,161700,0,0,0,0,0,0.0,0.0,0.0
WN18RR,10,6,20,2,2,0,0,0,0.1,1.0,0.0
WN18RR,2,100,161700,8,8,0,0,0,4.9474335188620906e-05,1.0,0.0
WN18RR,3,100,161700,211,211,0,0,0,0.0013048855905998763,1.0,0.0
WN18RR,4,100,161700,41,41,0,0,0,0.0002535559678416821,1.0,0.0
WN18RR,5,100,161700,168,150,0,0,0,0.001038961038961039,0.8928571428571429,0.0
WN18RR,6,100,161700,25,25,0,0,0,0.00015460729746444033,1.0,0.0
WN18RR,7,100,161700,912,862,0,0,0,0.005640074211502783,0.9451754385964912,0.0
WN18RR,8,100,161700,467,448,0,0,0,0.002888064316635745,0.9593147751605996,0.0
WN18RR,9,100,161700,3105,3105,0,0,0,0.01920222634508349,1.0,0.0
WN18RR,ALL,1006,1617020,4950,4863,0,0,0,0.0030611866272526006,0.9824242424242424,0.0
