dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,sum_negative_dep,desc,0.01000038856250618,0.2,8164,5388.0,0.17550661671577958,0.18387409062295648,0.008367473907176903,0.04767611651204828,0.037675727949542104
FB15k-237,avg_candidate_dep_score,asc,0.010000388562610318,0.2,8164,-0.399449691,0.20144706545560714,0.21069597440720875,0.009248908951601603,0.04591235385178538,0.03591196528917506
FB15k-237,abs_dep_mass,desc,0.01000038856250729,0.2,8164,47.39957,0.22342080165542422,0.2332569807799962,0.009836179124571992,0.044025350601606394,0.034024962039099105
FB15k-237,num_dependencies,desc,0.010000388562507956,0.22,8980,172.0,0.21659521302164225,0.2260709737905605,0.009475760768918234,0.04374870818576859,0.033748319623260636
FB15k-237,num_dependency_edges,desc,0.010000388562507956,0.22,8980,172.0,0.21659521302164225,0.2260709737905605,0.009475760768918234,0.04374870818576859,0.033748319623260636
FB15k-237,query_num_edges,desc,0.010000388562507956,0.22,8980,172.0,0.21659521302164225,0.2260709737905605,0.009475760768918234,0.04374870818576859,0.033748319623260636
FB15k-237,sum_positive_dep,desc,0.01000038856253016,0.2,8164,1786.0,0.209219980011142,0.2181228806646346,0.008902900653492585,0.042552822407393665,0.032552433844863504
FB15k-237,avg_positive_dep,desc,0.010000388562533935,0.2,8164,18.43,0.2170444377808142,0.22615953861805144,0.009115100837237239,0.04199647284415686,0.03199608428162293
FB15k-237,candidate_dep_coverage,desc,0.010000388562517948,0.2,8164,0.9801980198019802,0.19376003531234015,0.20179292570548799,0.008032890393147835,0.04145793212825777,0.03145754356573982
FB15k-237,dep_candidate_ratio,desc,0.010000388562517948,0.2,8164,0.9801980198019802,0.19376003531234015,0.20179292570548799,0.008032890393147835,0.04145793212825777,0.03145754356573982
FB15k-237,max_candidate_dep_score,desc,0.010000388562589446,0.2,8164,0.1402367,0.22919925365332738,0.23823901407114684,0.009039760417819453,0.03944061891009665,0.0294402303475072
FB15k-237,avg_negative_dep,desc,0.010000388562504847,0.24,9797,33.65,0.21980009662258415,0.22836431952036487,0.008564222897780721,0.038963690323058575,0.028963301760553728
