feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
sum_positive_dep,desc,0.15850364279949405,0.011142870283042124,0.023049989060410336,0.7493281255022166,6,0.1,1
combo_dependency_activity,desc,0.15662267024309348,0.01213803306122419,0.016197226162274037,0.7304900154733229,6,0.1,2
combo_complex_dep_low_conf,desc,0.15393080316898092,0.012142422101435672,0.026339513627477107,0.6529996230836221,6,0.1,3
sum_negative_dep,desc,0.1388821450543639,0.0116473462324614,0.01128339326541683,0.6654911181229226,6,0.1,4
num_dependency_edges,desc,0.12891834483577544,0.010460880235435085,0.016236477154705442,0.546350485983774,6,0.1,5
query_num_edges,desc,0.12891834483577544,0.010460880235435085,0.016236477154705442,0.546350485983774,6,0.1,6
unique_synergy_edges,desc,0.12756695434715407,0.013235862653802236,0.009228066798502743,0.5274273254743023,6,0.1,7
avg_positive_dep,desc,0.12740800272904748,0.010946329399424255,0.023153437724813708,0.5686135200242197,6,0.1,8
num_candidates,desc,0.11048622792649261,0.010169470745090397,0.011610521942926777,0.4371791717871574,6,0.1,9
redundancy_weight_top10_sum,desc,0.09509870990256301,0.011015827815181576,0.0064874792451694585,0.44031313752994805,6,0.1,10
redundancy_weight_top5_sum,desc,0.08345329532246064,0.011019336827,0.006300474924942234,0.37107735616775717,6,0.1,11
redundancy_weight_top5_mean,desc,0.08020487789145551,0.0111237997500915,0.004043134545039795,0.35952761768094965,6,0.1,12
avg_candidate_dep_score,asc,0.08015765232789585,0.011950819004447286,0.0004858133719443103,0.3124581811951068,6,0.1,13
avg_stage1_score,desc,0.0800650908058369,0.007083078309550871,0.00546525585036961,0.3420788224086404,6,0.1,14
avg_negative_dep,desc,0.0798453270807206,0.01091613076188794,0.008876832721186112,0.3214207412886283,6,0.1,15
redundancy_weight_top3_sum,desc,0.07918044262480133,0.010522007411986757,0.004123270354862818,0.3511606650516361,6,0.1,16
redundancy_weight_top10_mean,desc,0.07841960307375706,0.0108974558865376,0.00425364865019473,0.352463273469656,6,0.1,17
redundancy_weight_top3_mean,desc,0.07683482464786746,0.010596243597145817,0.0037217492431564914,0.34155744183686165,6,0.1,18
candidate_dep_coverage,desc,0.07599840360403802,0.011392668859456266,0.021392199957189773,0.26880321345971336,6,0.1,19
redundancy_weight_mean,desc,0.07034458922519138,0.010970320723860403,0.0019416306064423683,0.32181744862886696,6,0.1,20
combo_dep_activity_x_uncertainty,desc,0.06938628966675409,0.014054621384970921,0.028543890810739603,0.12348677319506773,6,0.1,21
redundancy_weight_top1_mean,desc,0.0644335979443638,0.010896374077505372,0.0036760498107577533,0.2632387574234569,6,0.1,22
redundancy_weight_max,desc,0.0644335979443638,0.010896374077505372,0.0036760498107577533,0.2632387574234569,6,0.1,23
redundancy_weight_top1_sum,desc,0.0644335979443638,0.010896374077505372,0.0036760498107577533,0.2632387574234569,6,0.1,24
max_negative_dep,desc,0.056581217002780515,0.008304225695413484,0.006683774169080392,0.20281299450354973,6,0.1,25
combo_candidate_complexity,desc,0.056256426148398174,0.008319687453130635,0.0056839950645140025,0.1425834074526764,6,0.1,26
max_positive_dep,desc,0.049506039431579864,0.009876374706085137,0.005221470018129004,0.14890166795253856,6,0.1,27
rule_weight_top10_sum,desc,0.048989716668861615,0.008689200987042608,0.004343504057072067,0.18764097224769127,6,0.1,28
rule_weight_top10_mean,desc,0.048733771086043855,0.00865618235488128,0.0043397318716464905,0.18764097224769127,6,0.1,29
rule_weight_top5_sum,desc,0.04519082660669993,0.008063741959129685,0.001743496946562395,0.1775137871373731,6,0.1,30
rule_weight_top5_mean,desc,0.045076672256640436,0.008058940419980029,0.001743496946562395,0.1775137871373733,6,0.1,31
rule_weight_top3_sum,desc,0.04099717454391679,0.007978739988612251,0.0006441030696180405,0.15458897373790959,6,0.1,32
