feature_or_component,sort_direction,dataset,10%,20%,100%
compact_formula,desc,FB15k-237,0.03798042768606269,0.035149572686695274,0.010000388562504847
compact_formula,desc,KG20C,0.05127518928958641,0.05226635121306766,0.03344470338122019
compact_formula,desc,WN18RR,0.028453482233209426,0.01853503562000358,0.0053451824557413374
compact_formula,desc,YAGO3-10,0.044335948756478505,0.04678492293489356,0.03342845900340685
compact_formula,desc,codex-l,0.01698277419035943,0.017121072958668604,0.014819848478839326
compact_formula,desc,codex-m,0.005494880792806578,0.005667604309911312,0.008576136224875297
compact_formula,desc,hetionet,0.11577255970950318,0.10818312021089915,0.045735098313474554
candidate_dep_coverage,desc,FB15k-237,0.02441527859645265,0.04145793212825777,0.010000388562517948
candidate_dep_coverage,desc,KG20C,0.054800486972777174,0.05502882837057399,0.033444703381218854
candidate_dep_coverage,desc,WN18RR,0.027291989588106302,0.018535035620002027,0.005345182455741115
candidate_dep_coverage,desc,YAGO3-10,0.0374836334835249,0.04024015061870778,0.033428459003433275
candidate_dep_coverage,desc,codex-l,0.0154159434053327,0.009359096642238773,0.014819848478828002
candidate_dep_coverage,desc,codex-m,0.016885709455801035,0.005889457334247394,0.008576136224870634
candidate_dep_coverage,desc,hetionet,0.11610129719370965,0.08821692212784127,0.045735098313228306
synergy_weight_mean,desc,FB15k-237,0.03152704067205114,0.03226873408530473,0.010000388562620088
synergy_weight_mean,desc,KG20C,0.05122616215409015,0.05458914817454552,0.03344470338121597
synergy_weight_mean,desc,WN18RR,0.03135679308580608,0.018524124341656734,0.0053451824557415595
synergy_weight_mean,desc,YAGO3-10,0.037768830247394414,0.0377757346769072,0.033428459003386646
synergy_weight_mean,desc,codex-l,0.02481007459703699,0.028993462818154958,0.014819848478833997
synergy_weight_mean,desc,codex-m,0.005684592237826802,0.005204179910125228,0.008576136224877517
synergy_weight_mean,desc,hetionet,0.10617977890782582,0.09498422238921989,0.04573509831348632
synergy_weight_top3_mean,desc,FB15k-237,0.03952153408185932,0.03348502116541385,0.010000388562615203
synergy_weight_top3_mean,desc,KG20C,0.04952553500735868,0.05157558836169773,0.03344470338121619
synergy_weight_top3_mean,desc,WN18RR,0.02897004448710505,0.018524124341656956,0.0053451824557415595
synergy_weight_top3_mean,desc,YAGO3-10,0.05316191860355657,0.048771449434816594,0.0334284590034204
synergy_weight_top3_mean,desc,codex-l,-0.013510079528083252,-0.02666872600292791,0.014819848478848208
synergy_weight_top3_mean,desc,codex-m,0.004144667645124445,0.004886978624681015,0.008576136224877295
synergy_weight_top3_mean,desc,hetionet,0.11610123678538087,0.11610126277726085,0.04573509831349032
