selector,dataset,feature,importance
balanced4_rf,FB15k-237,synergy_weight_top5_mean,0.27385329199595987
balanced4_rf,FB15k-237,max_candidate_dep_score,0.30214227144886835
balanced4_rf,FB15k-237,topk_rule_weight,0.21780735335270757
balanced4_rf,FB15k-237,effective_candidates,0.20619708320246422
balanced4_rf,KG20C,synergy_weight_top5_mean,0.24370861601849816
balanced4_rf,KG20C,max_candidate_dep_score,0.23570289632726846
balanced4_rf,KG20C,topk_rule_weight,0.2567137720029323
balanced4_rf,KG20C,effective_candidates,0.26387471565130105
balanced4_rf,WN18RR,synergy_weight_top5_mean,0.19314580770247833
balanced4_rf,WN18RR,max_candidate_dep_score,0.2950483027677297
balanced4_rf,WN18RR,topk_rule_weight,0.24086065638436888
balanced4_rf,WN18RR,effective_candidates,0.27094523314542296
balanced4_rf,YAGO3-10,synergy_weight_top5_mean,0.16217566449518206
balanced4_rf,YAGO3-10,max_candidate_dep_score,0.29537480013963885
balanced4_rf,YAGO3-10,topk_rule_weight,0.2729900647760995
balanced4_rf,YAGO3-10,effective_candidates,0.2694594705890796
balanced4_rf,codex-l,synergy_weight_top5_mean,0.25582128257016323
balanced4_rf,codex-l,max_candidate_dep_score,0.16597528129702255
balanced4_rf,codex-l,topk_rule_weight,0.3063274717985514
balanced4_rf,codex-l,effective_candidates,0.27187596433426275
balanced4_rf,codex-m,synergy_weight_top5_mean,0.14763680288092235
balanced4_rf,codex-m,max_candidate_dep_score,0.1133735351203022
balanced4_rf,codex-m,topk_rule_weight,0.37357025682866557
balanced4_rf,codex-m,effective_candidates,0.36541940517010985
balanced4_rf,hetionet,synergy_weight_top5_mean,0.44052637995756483
balanced4_rf,hetionet,max_candidate_dep_score,0.1498101954157926
balanced4_rf,hetionet,topk_rule_weight,0.21852516016933557
balanced4_rf,hetionet,effective_candidates,0.19113826445730703
balanced4_global_rf,global,synergy_weight_top5_mean,0.4867552140732879
balanced4_global_rf,global,max_candidate_dep_score,0.14241985902555906
balanced4_global_rf,global,topk_rule_weight,0.1897965241350769
balanced4_global_rf,global,effective_candidates,0.18102840276607607
balanced5_rf,FB15k-237,synergy_weight_top5_mean,0.24316530361712277
balanced5_rf,FB15k-237,max_candidate_dep_score,0.25305355702787724
balanced5_rf,FB15k-237,topk_rule_weight,0.17375390716145842
balanced5_rf,FB15k-237,num_neg_dep,0.17076226354025717
balanced5_rf,FB15k-237,effective_candidates,0.15926496865328443
balanced5_rf,KG20C,synergy_weight_top5_mean,0.2372486740903561
balanced5_rf,KG20C,max_candidate_dep_score,0.23451982940300098
balanced5_rf,KG20C,topk_rule_weight,0.23960574438727203
balanced5_rf,KG20C,num_neg_dep,0.04429162903021093
balanced5_rf,KG20C,effective_candidates,0.24433412308916
balanced5_rf,WN18RR,synergy_weight_top5_mean,0.18293695104461577
balanced5_rf,WN18RR,max_candidate_dep_score,0.28133870205307354
balanced5_rf,WN18RR,topk_rule_weight,0.21645951746145978
balanced5_rf,WN18RR,num_neg_dep,0.06355812263119681
balanced5_rf,WN18RR,effective_candidates,0.25570670680965424
balanced5_rf,YAGO3-10,synergy_weight_top5_mean,0.13007493071781723
balanced5_rf,YAGO3-10,max_candidate_dep_score,0.2276873092568396
balanced5_rf,YAGO3-10,topk_rule_weight,0.22912022694583595
balanced5_rf,YAGO3-10,num_neg_dep,0.20604250870209243
balanced5_rf,YAGO3-10,effective_candidates,0.20707502437741473
balanced5_rf,codex-l,synergy_weight_top5_mean,0.21719342989373347
balanced5_rf,codex-l,max_candidate_dep_score,0.13882458737640635
balanced5_rf,codex-l,topk_rule_weight,0.2720714922621863
balanced5_rf,codex-l,num_neg_dep,0.12062464836511888
balanced5_rf,codex-l,effective_candidates,0.25128584210255495
balanced5_rf,codex-m,synergy_weight_top5_mean,0.13935793149300668
balanced5_rf,codex-m,max_candidate_dep_score,0.11991912333872716
balanced5_rf,codex-m,topk_rule_weight,0.33917697016320375
balanced5_rf,codex-m,num_neg_dep,0.06237578223178625
balanced5_rf,codex-m,effective_candidates,0.3391701927732761
balanced5_rf,hetionet,synergy_weight_top5_mean,0.38674701748745205
balanced5_rf,hetionet,max_candidate_dep_score,0.11788969206444698
balanced5_rf,hetionet,topk_rule_weight,0.18621239809491158
balanced5_rf,hetionet,num_neg_dep,0.13822724690909
balanced5_rf,hetionet,effective_candidates,0.1709236454440994
balanced5_global_rf,global,synergy_weight_top5_mean,0.44984919421377745
balanced5_global_rf,global,max_candidate_dep_score,0.10767344865295288
balanced5_global_rf,global,topk_rule_weight,0.16326702922489303
balanced5_global_rf,global,num_neg_dep,0.12248072866722355
balanced5_global_rf,global,effective_candidates,0.1567295992411531
