scope,metric,balanced5,balanced4,delta_pt
per-dataset,gain_10,0.22207067922870066,0.22385425657946506,0.0017835773507643982
per-dataset,gain_20,0.1376413271887492,0.14092171811881507,0.0032803909300658796
per-dataset,gain_30,0.09887779678275242,0.09941819904759444,0.0005404022648420187
per-dataset,gain_50,0.06221538613350942,0.06172035963694879,-0.0004950264965606355
per-dataset,gain_100,0.02120327627483062,0.02120327627483078,1.5959455978986625e-16
global,gain_10,0.16418076492851533,0.16662235702357214,0.002441592095056816
global,gain_20,0.10415179842187154,0.09912126337271958,-0.005030535049151963
global,gain_30,0.0719114545853228,0.0699630704319404,-0.0019483841533824015
global,gain_50,0.043668608257567625,0.04252669474773353,-0.001141913509834093
global,gain_100,0.02120327627483065,0.021203276274830683,3.122502256758253e-17
