dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced5_rf,0.02,816,0.20395907482899509,0.28243739168207244,0.38477482268869734
FB15k-237,balanced5_rf,0.04,1633,0.1991008755445841,0.2596130939393122,0.3039274349206855
FB15k-237,balanced5_rf,0.06,2449,0.20944260930356395,0.2577094731981269,0.23045388927811472
FB15k-237,balanced5_rf,0.08,3266,0.21969776941269253,0.25887791259736787,0.17833655430100048
FB15k-237,balanced5_rf,0.1,4082,0.22624709480821356,0.25958774199624446,0.14736386876610852
FB15k-237,balanced5_rf,0.12,4898,0.23383490393884887,0.26289972828518127,0.12429634693857872
FB15k-237,balanced5_rf,0.14,5715,0.24717131529726113,0.2728493441955422,0.10388757638563084
FB15k-237,balanced5_rf,0.16,6531,0.2565826726963509,0.27964717301709463,0.08989110635712771
FB15k-237,balanced5_rf,0.18,7347,0.2486446841266325,0.26932030966606946,0.08315329809708327
FB15k-237,balanced5_rf,0.2,8164,0.25631172983405837,0.27513297398563347,0.073431068346971
FB15k-237,balanced5_rf,0.22,8980,0.2624352154619088,0.27974714134776985,0.0659664742606687
FB15k-237,balanced5_rf,0.24,9797,0.27082394414920496,0.28678074867190584,0.05891947468983694
FB15k-237,balanced5_rf,0.26,10613,0.2820087506540747,0.2972052425140488,0.05388659686881425
FB15k-237,balanced5_rf,0.28,11429,0.2932363999128676,0.30745044009617006,0.04847297329910627
FB15k-237,balanced5_rf,0.3,12246,0.30224187395645746,0.3158978756289637,0.04518236170833689
FB15k-237,balanced5_rf,0.32,13062,0.31268667328313576,0.3254418811921395,0.04079229784588234
FB15k-237,balanced5_rf,0.34,13878,0.31758665519226487,0.3293532965444247,0.03705017562855839
FB15k-237,balanced5_rf,0.36,14695,0.3301789754880706,0.3412415630647256,0.03350482131789967
FB15k-237,balanced5_rf,0.38,15511,0.3417910617021902,0.352223577780747,0.030523080465008956
FB15k-237,balanced5_rf,0.4,16328,0.34616175701582647,0.35611094882475686,0.028741452824540437
FB15k-237,balanced5_rf,0.42,17144,0.34689716956779965,0.3563963879926938,0.02738338406372498
FB15k-237,balanced5_rf,0.44,17960,0.3421670573177255,0.35123750675185134,0.026508833156615896
FB15k-237,balanced5_rf,0.46,18777,0.33858436459853697,0.34727577387003533,0.025669848286715258
FB15k-237,balanced5_rf,0.48,19593,0.3321985106751604,0.3405436041922241,0.02512080352227697
FB15k-237,balanced5_rf,0.5,20410,0.3271802844893117,0.3351930605000303,0.024490399912774574
FB15k-237,balanced5_rf,0.52,21226,0.32631257089954385,0.3340243641689866,0.023633147960508305
FB15k-237,balanced5_rf,0.54,22042,0.33128689415691825,0.33876807600307507,0.022582184741100075
FB15k-237,balanced5_rf,0.56,22859,0.3333408491808224,0.3405609689739579,0.021659871002545072
FB15k-237,balanced5_rf,0.58,23675,0.33979809905868175,0.34679640273271456,0.02059547623550495
FB15k-237,balanced5_rf,0.6,24491,0.3425564780461767,0.349332433780889,0.019780550563107013
FB15k-237,balanced5_rf,0.62,25308,0.3517021241467044,0.358259813127483,0.01864557684059709
FB15k-237,balanced5_rf,0.64,26124,0.3562160444209691,0.36258030208953956,0.017866285834810203
FB15k-237,balanced5_rf,0.66,26941,0.3565115940723238,0.36269932911967545,0.01735633609182541
FB15k-237,balanced5_rf,0.68,27757,0.3611257353715975,0.36714226373862724,0.016660480762576313
FB15k-237,balanced5_rf,0.7,28573,0.36633551532038644,0.3721956466963245,0.01599662367109822
FB15k-237,balanced5_rf,0.72,29390,0.3703865423950306,0.37609172481761777,0.015403319963235518
FB15k-237,balanced5_rf,0.74,30206,0.37094186352985525,0.3765017077097825,0.01498845163233975
FB15k-237,balanced5_rf,0.76,31022,0.3669851477066839,0.3723995536103909,0.014753746677602653
FB15k-237,balanced5_rf,0.78,31839,0.36730692005366317,0.3725851415375045,0.014370057289065485
FB15k-237,balanced5_rf,0.8,32655,0.3615076725812081,0.3666547082477641,0.014237694126394418
FB15k-237,balanced5_rf,0.82,33472,0.35835699830650813,0.36338047732930523,0.014018085447016881
FB15k-237,balanced5_rf,0.84,34288,0.3558806970344407,0.36078499237291595,0.013780728708645329
FB15k-237,balanced5_rf,0.86,35104,0.356280695799324,0.36107081096780586,0.013444778863853868
FB15k-237,balanced5_rf,0.88,35921,0.35510869508308224,0.3597819847911721,0.013160166937045803
FB15k-237,balanced5_rf,0.9,36737,0.35175453500166676,0.3563233022137922,0.012988509763218303
FB15k-237,balanced5_rf,0.92,37553,0.34873627048251893,0.35321206515521314,0.012834325109061462
FB15k-237,balanced5_rf,0.94,38370,0.34873722308815314,0.3530905726449696,0.012483180081169776
FB15k-237,balanced5_rf,0.96,39186,0.3487537461774461,0.3529743818552408,0.012102051158031868
FB15k-237,balanced5_rf,0.98,40003,0.3512508897994525,0.35526237211233697,0.01142056128363067
FB15k-237,balanced5_rf,1.0,40819,0.35210727177438816,0.35562848130787206,0.010000388562665385
KG20C,balanced5_rf,0.02,149,0.2616578721666131,0.28103396035460415,0.07405123349643805
KG20C,balanced5_rf,0.04,298,0.2578400746416752,0.27693345021370486,0.07405123349643783
KG20C,balanced5_rf,0.06,447,0.2496874199415013,0.2681720844186173,0.07403122064157941
KG20C,balanced5_rf,0.08,596,0.25115370453510083,0.26973453838237965,0.07398192227215183
KG20C,balanced5_rf,0.1,745,0.2360883205753829,0.2535188139692395,0.0738303925894166
KG20C,balanced5_rf,0.12,894,0.2407733397997744,0.2585552295393785,0.07385323372758545
