dataset,feature,importance
FB15k-237,synergy_weight_top5_mean,0.28411902072984574
FB15k-237,max_candidate_dep_score,0.26229261914612106
FB15k-237,topk_rule_weight,0.15876905199608762
FB15k-237,num_neg_dep,0.14567053101716787
FB15k-237,effective_candidates,0.14914877711077779
KG20C,synergy_weight_top5_mean,0.24762783657450557
KG20C,max_candidate_dep_score,0.11603242675448475
KG20C,topk_rule_weight,0.47324845499933355
KG20C,num_neg_dep,0.02164689613010012
KG20C,effective_candidates,0.14144438554157618
WN18RR,synergy_weight_top5_mean,0.22450526062561424
WN18RR,max_candidate_dep_score,0.30605103750878715
WN18RR,topk_rule_weight,0.19425353258302416
WN18RR,num_neg_dep,0.08135650109725254
WN18RR,effective_candidates,0.19383366818532188
YAGO3-10,synergy_weight_top5_mean,0.17711269231717547
YAGO3-10,max_candidate_dep_score,0.2668375339806393
YAGO3-10,topk_rule_weight,0.16661022689364288
YAGO3-10,num_neg_dep,0.17441137197126544
YAGO3-10,effective_candidates,0.215028174837277
codex-l,synergy_weight_top5_mean,0.3112779853291911
codex-l,max_candidate_dep_score,0.1616440696973285
codex-l,topk_rule_weight,0.14664549380096448
codex-l,num_neg_dep,0.16000592760225218
codex-l,effective_candidates,0.2204265235702637
codex-m,synergy_weight_top5_mean,0.28803670493374606
codex-m,max_candidate_dep_score,0.20314834680836133
codex-m,topk_rule_weight,0.16322216305179482
codex-m,num_neg_dep,0.14905665484102051
codex-m,effective_candidates,0.19653613036507733
hetionet,synergy_weight_top5_mean,0.6251278216690749
hetionet,max_candidate_dep_score,0.09216644126239329
hetionet,topk_rule_weight,0.07485511809510387
hetionet,num_neg_dep,0.18192965524478358
hetionet,effective_candidates,0.025920963728644348
