dataset,feature,importance
FB15k-237,synergy_weight_top5_mean,0.24316530361712277
FB15k-237,max_candidate_dep_score,0.25305355702787724
FB15k-237,topk_rule_weight,0.17375390716145842
FB15k-237,num_neg_dep,0.17076226354025717
FB15k-237,effective_candidates,0.15926496865328443
KG20C,synergy_weight_top5_mean,0.2372486740903561
KG20C,max_candidate_dep_score,0.23451982940300098
KG20C,topk_rule_weight,0.23960574438727203
KG20C,num_neg_dep,0.04429162903021093
KG20C,effective_candidates,0.24433412308916
WN18RR,synergy_weight_top5_mean,0.18293695104461577
WN18RR,max_candidate_dep_score,0.28133870205307354
WN18RR,topk_rule_weight,0.21645951746145978
WN18RR,num_neg_dep,0.06355812263119681
WN18RR,effective_candidates,0.25570670680965424
YAGO3-10,synergy_weight_top5_mean,0.13007493071781723
YAGO3-10,max_candidate_dep_score,0.2276873092568396
YAGO3-10,topk_rule_weight,0.22912022694583595
YAGO3-10,num_neg_dep,0.20604250870209243
YAGO3-10,effective_candidates,0.20707502437741473
codex-l,synergy_weight_top5_mean,0.21719342989373347
codex-l,max_candidate_dep_score,0.13882458737640635
codex-l,topk_rule_weight,0.2720714922621863
codex-l,num_neg_dep,0.12062464836511888
codex-l,effective_candidates,0.25128584210255495
codex-m,synergy_weight_top5_mean,0.13935793149300668
codex-m,max_candidate_dep_score,0.11991912333872716
codex-m,topk_rule_weight,0.33917697016320375
codex-m,num_neg_dep,0.06237578223178625
codex-m,effective_candidates,0.3391701927732761
hetionet,synergy_weight_top5_mean,0.38674701748745205
hetionet,max_candidate_dep_score,0.11788969206444698
hetionet,topk_rule_weight,0.18621239809491158
hetionet,num_neg_dep,0.13822724690909
hetionet,effective_candidates,0.1709236454440994
