tag,selector,dataset,feature,importance
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_global_rf,global,synergy_weight_top5_mean,0.4867552140732879
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_global_rf,global,max_candidate_dep_score,0.14241985902555906
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_global_rf,global,topk_rule_weight,0.1897965241350769
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_global_rf,global,effective_candidates,0.18102840276607607
balanced3_syn_max_topk,balanced3_syn_max_topk_global_rf,global,synergy_weight_top5_mean,0.5742165675462356
balanced3_syn_max_topk,balanced3_syn_max_topk_global_rf,global,max_candidate_dep_score,0.19983910116504897
balanced3_syn_max_topk,balanced3_syn_max_topk_global_rf,global,topk_rule_weight,0.22594433128871544
balanced3_syn_max_eff,balanced3_syn_max_eff_global_rf,global,synergy_weight_top5_mean,0.5632095164167894
balanced3_syn_max_eff,balanced3_syn_max_eff_global_rf,global,max_candidate_dep_score,0.20294849740021803
balanced3_syn_max_eff,balanced3_syn_max_eff_global_rf,global,effective_candidates,0.23384198618299243
balanced3_syn_topk_eff,balanced3_syn_topk_eff_global_rf,global,synergy_weight_top5_mean,0.5954452979351958
balanced3_syn_topk_eff,balanced3_syn_topk_eff_global_rf,global,topk_rule_weight,0.20446987918367063
balanced3_syn_topk_eff,balanced3_syn_topk_eff_global_rf,global,effective_candidates,0.20008482288113347
balanced3_max_topk_eff,balanced3_max_topk_eff_global_rf,global,max_candidate_dep_score,0.4211475916229225
balanced3_max_topk_eff,balanced3_max_topk_eff_global_rf,global,topk_rule_weight,0.26634430832047395
balanced3_max_topk_eff,balanced3_max_topk_eff_global_rf,global,effective_candidates,0.31250810005660357
balanced2_syn_max,balanced2_syn_max_global_rf,global,synergy_weight_top5_mean,0.705576159291707
balanced2_syn_max,balanced2_syn_max_global_rf,global,max_candidate_dep_score,0.29442384070829286
balanced2_syn_topk,balanced2_syn_topk_global_rf,global,synergy_weight_top5_mean,0.7106392530747364
balanced2_syn_topk,balanced2_syn_topk_global_rf,global,topk_rule_weight,0.28936074692526365
balanced2_syn_eff,balanced2_syn_eff_global_rf,global,synergy_weight_top5_mean,0.6926486981594774
balanced2_syn_eff,balanced2_syn_eff_global_rf,global,effective_candidates,0.3073513018405226
balanced2_max_topk,balanced2_max_topk_global_rf,global,max_candidate_dep_score,0.5959993076518094
balanced2_max_topk,balanced2_max_topk_global_rf,global,topk_rule_weight,0.4040006923481906
balanced2_max_eff,balanced2_max_eff_global_rf,global,max_candidate_dep_score,0.5377311486883475
balanced2_max_eff,balanced2_max_eff_global_rf,global,effective_candidates,0.4622688513116525
balanced2_topk_eff,balanced2_topk_eff_global_rf,global,topk_rule_weight,0.4770332969699814
balanced2_topk_eff,balanced2_topk_eff_global_rf,global,effective_candidates,0.5229667030300187
balanced1_syn,balanced1_syn_global_rf,global,synergy_weight_top5_mean,1.0
balanced1_max,balanced1_max_global_rf,global,max_candidate_dep_score,1.0
balanced1_topk,balanced1_topk_global_rf,global,topk_rule_weight,1.0
balanced1_eff,balanced1_eff_global_rf,global,effective_candidates,1.0
