tag,selector,dataset,feature,importance
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,FB15k-237,synergy_weight_top5_mean,0.27385329199595987
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,FB15k-237,max_candidate_dep_score,0.30214227144886835
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,FB15k-237,topk_rule_weight,0.21780735335270757
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,FB15k-237,effective_candidates,0.20619708320246422
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,KG20C,synergy_weight_top5_mean,0.24370861601849816
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,KG20C,max_candidate_dep_score,0.23570289632726846
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,KG20C,topk_rule_weight,0.2567137720029323
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,KG20C,effective_candidates,0.26387471565130105
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,WN18RR,synergy_weight_top5_mean,0.19314580770247833
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,WN18RR,max_candidate_dep_score,0.2950483027677297
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,WN18RR,topk_rule_weight,0.24086065638436888
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,WN18RR,effective_candidates,0.27094523314542296
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,YAGO3-10,synergy_weight_top5_mean,0.16217566449518206
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,YAGO3-10,max_candidate_dep_score,0.29537480013963885
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,YAGO3-10,topk_rule_weight,0.2729900647760995
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,YAGO3-10,effective_candidates,0.2694594705890796
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-l,synergy_weight_top5_mean,0.25582128257016323
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-l,max_candidate_dep_score,0.16597528129702255
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-l,topk_rule_weight,0.3063274717985514
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-l,effective_candidates,0.27187596433426275
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-m,synergy_weight_top5_mean,0.14763680288092235
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-m,max_candidate_dep_score,0.1133735351203022
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-m,topk_rule_weight,0.37357025682866557
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,codex-m,effective_candidates,0.36541940517010985
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,hetionet,synergy_weight_top5_mean,0.43002296780651206
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,hetionet,max_candidate_dep_score,0.14657180171843337
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,hetionet,topk_rule_weight,0.22528512564781847
balanced4_syn_max_topk_eff,balanced4_syn_max_topk_eff_rf,hetionet,effective_candidates,0.19812010482723622
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,FB15k-237,synergy_weight_top5_mean,0.35357822279305423
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,FB15k-237,max_candidate_dep_score,0.37648535745875866
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,FB15k-237,topk_rule_weight,0.26993641974818705
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,KG20C,synergy_weight_top5_mean,0.3278076380347261
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,KG20C,max_candidate_dep_score,0.3331487676666404
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,KG20C,topk_rule_weight,0.3390435942986335
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,WN18RR,synergy_weight_top5_mean,0.3123087361874047
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,WN18RR,max_candidate_dep_score,0.3648365424553593
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,WN18RR,topk_rule_weight,0.32285472135723603
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,YAGO3-10,synergy_weight_top5_mean,0.2508631262462689
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,YAGO3-10,max_candidate_dep_score,0.37683620855160177
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,YAGO3-10,topk_rule_weight,0.37230066520212934
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-l,synergy_weight_top5_mean,0.3230568580563796
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-l,max_candidate_dep_score,0.251027521506963
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-l,topk_rule_weight,0.42591562043665754
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-m,synergy_weight_top5_mean,0.2630261409837638
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-m,max_candidate_dep_score,0.2181601049915522
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,codex-m,topk_rule_weight,0.5188137540246841
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,hetionet,synergy_weight_top5_mean,0.5448893082743882
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,hetionet,max_candidate_dep_score,0.20639044588445654
balanced3_syn_max_topk,balanced3_syn_max_topk_rf,hetionet,topk_rule_weight,0.24872024584115535
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,FB15k-237,synergy_weight_top5_mean,0.35218679453877105
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,FB15k-237,max_candidate_dep_score,0.37586556941486055
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,FB15k-237,effective_candidates,0.27194763604636835
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,KG20C,synergy_weight_top5_mean,0.3452282916655209
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,KG20C,max_candidate_dep_score,0.32400630805100467
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,KG20C,effective_candidates,0.33076540028347445
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,WN18RR,synergy_weight_top5_mean,0.2996885256749222
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,WN18RR,max_candidate_dep_score,0.36343128958979665
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,WN18RR,effective_candidates,0.3368801847352811
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,YAGO3-10,synergy_weight_top5_mean,0.25247401920067264
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,YAGO3-10,max_candidate_dep_score,0.3684937555025334
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,YAGO3-10,effective_candidates,0.379032225296794
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-l,synergy_weight_top5_mean,0.33865713422834887
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-l,max_candidate_dep_score,0.25645641333260505
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-l,effective_candidates,0.4048864524390461
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-m,synergy_weight_top5_mean,0.26287260414099517
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-m,max_candidate_dep_score,0.2130015431210064
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,codex-m,effective_candidates,0.5241258527379984
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,hetionet,synergy_weight_top5_mean,0.5336665739558613
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,hetionet,max_candidate_dep_score,0.22211614456372633
balanced3_syn_max_eff,balanced3_syn_max_eff_rf,hetionet,effective_candidates,0.24421728148041244
balanced3_syn_topk_eff,balanced3_syn_topk_eff_rf,FB15k-237,synergy_weight_top5_mean,0.4191452002573861
balanced3_syn_topk_eff,balanced3_syn_topk_eff_rf,FB15k-237,topk_rule_weight,0.28272136780814666
balanced3_syn_topk_eff,balanced3_syn_topk_eff_rf,FB15k-237,effective_candidates,0.29813343193446723
