dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced4_global_rf,0.02,816,0.2109731820650729,0.234097275828873,0.1096067923773727
FB15k-237,balanced4_global_rf,0.04,1633,0.2117208059225732,0.2351525197015438,0.1106727025568738
FB15k-237,balanced4_global_rf,0.06,2449,0.2115907740472586,0.2324109475690763,0.0983983050091188
FB15k-237,balanced4_global_rf,0.08,3266,0.2236040670816964,0.2440079432725119,0.0912500226722652
FB15k-237,balanced4_global_rf,0.1,4082,0.235639530517385,0.2543226416526301,0.0792868288874248
FB15k-237,balanced4_global_rf,0.12,4898,0.2450140824995195,0.2631464526322294,0.0740054202098585
FB15k-237,balanced4_global_rf,0.14,5715,0.2520222609007266,0.2692726269116497,0.0684477869108479
FB15k-237,balanced4_global_rf,0.16,6531,0.2618953602474578,0.2785321821330261,0.0635246911967004
FB15k-237,balanced4_global_rf,0.18,7347,0.2659311133315343,0.2814279259997477,0.0582737855457089
FB15k-237,balanced4_global_rf,0.2,8164,0.2685280040019756,0.2839330050222848,0.0573683220771117
FB15k-237,balanced4_global_rf,0.22,8980,0.2757937342638945,0.2901457888104218,0.0520390885051598
FB15k-237,balanced4_global_rf,0.24,9797,0.2761986794505989,0.2895553356600944,0.0483588706363982
FB15k-237,balanced4_global_rf,0.26,10613,0.2805447620128832,0.2936157236876977,0.0465913588299831
FB15k-237,balanced4_global_rf,0.28,11429,0.2844818890970116,0.2965285294804584,0.0423458956269047
FB15k-237,balanced4_global_rf,0.3,12246,0.2899250758746129,0.3011904445690038,0.0388561377811382
FB15k-237,balanced4_global_rf,0.32,13062,0.2918931773392576,0.3026944481227718,0.0370041906493767
FB15k-237,balanced4_global_rf,0.34,13878,0.2969906225852082,0.3070198048815221,0.0337693567864636
FB15k-237,balanced4_global_rf,0.36,14695,0.3019804672118719,0.3114561641317045,0.0313785093695626
FB15k-237,balanced4_global_rf,0.38,15511,0.308857449226521,0.3177890565516065,0.0289182188982433
FB15k-237,balanced4_global_rf,0.4,16328,0.3128759429366952,0.3213594521552119,0.0271146101515165
FB15k-237,balanced4_global_rf,0.42,17144,0.317150947940051,0.3252769486123669,0.0256218709894946
FB15k-237,balanced4_global_rf,0.44,17960,0.3219095468203909,0.3297576349855749,0.0243797931521514
FB15k-237,balanced4_global_rf,0.46,18777,0.3284176480224884,0.335611877154442,0.021905732457657
FB15k-237,balanced4_global_rf,0.48,19593,0.3358737810128644,0.3427441694896037,0.0204552688096728
FB15k-237,balanced4_global_rf,0.5,20410,0.3387825915438038,0.3453063243769189,0.0192563992246088
FB15k-237,balanced4_global_rf,0.52,21226,0.3372148988760399,0.34354059536296,0.0187586506646182
FB15k-237,balanced4_global_rf,0.54,22042,0.3346119890674107,0.3407695615322383,0.0184021274371823
FB15k-237,balanced4_global_rf,0.56,22859,0.3329870074177615,0.3389326383104631,0.0178554440871692
FB15k-237,balanced4_global_rf,0.58,23675,0.328005687609526,0.3338228377977887,0.0177349064604872
FB15k-237,balanced4_global_rf,0.6,24491,0.3262008737915221,0.3318535760040273,0.0173288996648055
FB15k-237,balanced4_global_rf,0.62,25308,0.3234248977573849,0.3289109041378123,0.0169622265276023
FB15k-237,balanced4_global_rf,0.64,26124,0.3224210653729852,0.3277137931185826,0.016415576753568
FB15k-237,balanced4_global_rf,0.66,26941,0.3256668626104615,0.3307412786215878,0.0155816160430048
FB15k-237,balanced4_global_rf,0.68,27757,0.3294263968005441,0.3343142666656535,0.0148375173106387
FB15k-237,balanced4_global_rf,0.7,28573,0.3308049946501931,0.3355447245050275,0.0143278666630968
FB15k-237,balanced4_global_rf,0.72,29390,0.3311011945510962,0.3357173074418568,0.0139416980872542
FB15k-237,balanced4_global_rf,0.74,30206,0.3303499852205621,0.334852959852899,0.0136309212465393
FB15k-237,balanced4_global_rf,0.76,31022,0.329160168508902,0.3335485718575833,0.0133321214670683
FB15k-237,balanced4_global_rf,0.78,31839,0.3291122466831169,0.3333897611929419,0.0129971295597017
FB15k-237,balanced4_global_rf,0.8,32655,0.3296594256470858,0.3338704715936353,0.0127739285424153
FB15k-237,balanced4_global_rf,0.82,33472,0.3304272443526119,0.3345311715268662,0.0124200629469732
FB15k-237,balanced4_global_rf,0.84,34288,0.3321639023671419,0.336153308100897,0.0120103530375361
FB15k-237,balanced4_global_rf,0.86,35104,0.3410784715515752,0.3449627042072543,0.0113880909516499
FB15k-237,balanced4_global_rf,0.88,35921,0.3479094477503165,0.3516578257812038,0.0107740047162425
FB15k-237,balanced4_global_rf,0.9,36737,0.3523682547681313,0.3560164945911672,0.0103534860864142
FB15k-237,balanced4_global_rf,0.92,37553,0.3549184075677924,0.3584865483912072,0.0100534115653985
FB15k-237,balanced4_global_rf,0.94,38370,0.3534549530435532,0.3569367467260782,0.0098507423719591
FB15k-237,balanced4_global_rf,0.96,39186,0.3528590200290913,0.3562235164472819,0.0095349593668123
FB15k-237,balanced4_global_rf,0.98,40003,0.3498339470059823,0.3531311346635704,0.009425007738119
FB15k-237,balanced4_global_rf,1.0,40819,0.352811985517237,0.3560530550713821,0.0091863930002082
KG20C,balanced4_global_rf,0.02,149,0.2376774509082504,0.2761274636409442,0.1617739191739162
KG20C,balanced4_global_rf,0.04,298,0.2077617087928475,0.2488938258436621,0.1979773717197626
KG20C,balanced4_global_rf,0.06,447,0.2095866885790253,0.2359128330862227,0.1256098117952326
KG20C,balanced4_global_rf,0.08,596,0.1928290079760474,0.2137152728489177,0.1083149526728088
KG20C,balanced4_global_rf,0.1,745,0.1843522167498254,0.2031432625956738,0.1019301323148651
KG20C,balanced4_global_rf,0.12,894,0.1776939418736013,0.1952781672630124,0.0989579340972646
KG20C,balanced4_global_rf,0.14,1043,0.1731918053302436,0.190994734915207,0.102793140535816
KG20C,balanced4_global_rf,0.16,1192,0.1723107125052585,0.1901318113517749,0.1034242072788858
KG20C,balanced4_global_rf,0.18,1341,0.1632738456207116,0.1806598760509703,0.1064838668077112
KG20C,balanced4_global_rf,0.2,1490,0.1618885347403478,0.1779963762401729,0.0994995817687787
KG20C,balanced4_global_rf,0.22,1639,0.1602947086890432,0.1759916903867516,0.0979257632774333
KG20C,balanced4_global_rf,0.24,1788,0.1569348715329063,0.1719623447900312,0.0957561127768469
KG20C,balanced4_global_rf,0.26,1936,0.1567625004950973,0.1722449046729764,0.0987634423346246
KG20C,balanced4_global_rf,0.28,2085,0.1555303621254553,0.17103321815121,0.0996773608309975
KG20C,balanced4_global_rf,0.3,2234,0.156635205695863,0.1712602094267003,0.0933698376802625
KG20C,balanced4_global_rf,0.32,2383,0.1561002218380122,0.1701681586902844,0.0901211842406648
KG20C,balanced4_global_rf,0.34,2532,0.1549065213996562,0.1682144429701139,0.0859093694068793
KG20C,balanced4_global_rf,0.36,2681,0.1531456122460297,0.1664549275832474,0.0869062792072432
KG20C,balanced4_global_rf,0.38,2830,0.1524596763413579,0.1653057436663595,0.0842587865412962
KG20C,balanced4_global_rf,0.4,2979,0.1506858081898674,0.1630541639763208,0.0820804290399332
KG20C,balanced4_global_rf,0.42,3128,0.1519176532914259,0.1641676211148336,0.0806355782754775
KG20C,balanced4_global_rf,0.44,3277,0.1519575822491848,0.1642196449158367,0.0806939837101656
KG20C,balanced4_global_rf,0.46,3426,0.154097454133277,0.1659410408739419,0.0768577703459103
KG20C,balanced4_global_rf,0.48,3575,0.1570280867934159,0.1685225618090371,0.0732001213944815
KG20C,balanced4_global_rf,0.5,3724,0.157347407300041,0.1685374369878041,0.0711167084337469
KG20C,balanced4_global_rf,0.52,3873,0.1595142335725708,0.1706703260063888,0.0699379120217664
KG20C,balanced4_global_rf,0.54,4022,0.1590831489240864,0.1702622921343217,0.070272327935688
KG20C,balanced4_global_rf,0.56,4171,0.1592169954066454,0.1706010326543773,0.0715001386545244
KG20C,balanced4_global_rf,0.58,4320,0.1598986183709594,0.1715324432514909,0.0727575072196144
KG20C,balanced4_global_rf,0.6,4469,0.1602455114127025,0.1714454396174076,0.0698923052881048
KG20C,balanced4_global_rf,0.62,4618,0.1617811531964126,0.1727232043591757,0.0676348940934965
KG20C,balanced4_global_rf,0.64,4767,0.1612225865476077,0.1716574655427034,0.0647234312421505
KG20C,balanced4_global_rf,0.66,4916,0.160263693682992,0.1704574872403704,0.0636063809782279
KG20C,balanced4_global_rf,0.68,5065,0.1597110072849594,0.1698014688369549,0.0631794997948509
KG20C,balanced4_global_rf,0.7,5214,0.1599282668991541,0.1696638845459697,0.060874902452076
KG20C,balanced4_global_rf,0.72,5363,0.1608456485747135,0.1706945825405881,0.0612322064858328
KG20C,balanced4_global_rf,0.74,5512,0.1601096522170573,0.1696671819258296,0.0596936510474419
KG20C,balanced4_global_rf,0.76,5660,0.1602907557261377,0.1696658410601418,0.058487997586222
KG20C,balanced4_global_rf,0.78,5809,0.1622051920842115,0.1709889589956789,0.0541521932720079
KG20C,balanced4_global_rf,0.8,5958,0.1607781140505963,0.1693640986026615,0.0534026947807289
KG20C,balanced4_global_rf,0.82,6107,0.16149477147153,0.1703764890910676,0.054996936053149
KG20C,balanced4_global_rf,0.84,6256,0.1681342457910237,0.1767679922801899,0.0513503150327696
KG20C,balanced4_global_rf,0.86,6405,0.1755368004241971,0.1839704815276429,0.048045088454758
KG20C,balanced4_global_rf,0.88,6554,0.183370079476161,0.1915441234571884,0.0445767597657065
KG20C,balanced4_global_rf,0.9,6703,0.1876713191247007,0.19583161775038,0.0434818632049844
KG20C,balanced4_global_rf,0.92,6852,0.191697118269185,0.1998208368659288,0.0423778858549994
KG20C,balanced4_global_rf,0.94,7001,0.1972709613206134,0.2053391112205747,0.0408988218334298
KG20C,balanced4_global_rf,0.96,7150,0.2068967643010428,0.2148197791458951,0.0382945324042087
KG20C,balanced4_global_rf,0.98,7299,0.2175364175419788,0.225297693900479,0.0356780554088258
KG20C,balanced4_global_rf,1.0,7448,0.2263807403572204,0.2339867495060782,0.0335983049479202
WN18RR,balanced4_global_rf,0.02,121,0.5826948827247606,0.6104495672320989,0.0476315913013576
WN18RR,balanced4_global_rf,0.04,242,0.5376315247803775,0.5597553138740702,0.0411504684416157
WN18RR,balanced4_global_rf,0.06,363,0.4525102695052797,0.4673604294904396,0.0328172883267274
WN18RR,balanced4_global_rf,0.08,484,0.4080500926843821,0.4207953017406601,0.0312344226475551
