feature_set,rank,feature
diverse_prefix3,1,synergy_weight_top5_mean
diverse_prefix3,2,max_candidate_dep_score
diverse_prefix3,3,candidate_dep_coverage
diverse_prefix4,1,synergy_weight_top5_mean
diverse_prefix4,2,max_candidate_dep_score
diverse_prefix4,3,candidate_dep_coverage
diverse_prefix4,4,abs_dep_mass
diverse_prefix5,1,synergy_weight_top5_mean
diverse_prefix5,2,max_candidate_dep_score
diverse_prefix5,3,candidate_dep_coverage
diverse_prefix5,4,abs_dep_mass
diverse_prefix5,5,max_rules_per_candidate
same_top10_diverse,1,synergy_weight_top5_mean
same_top10_diverse,2,synergy_weight_top3_mean
same_top10_diverse,3,max_candidate_dep_score
same_top10_diverse,4,candidate_dep_coverage
same_top10_diverse,5,abs_dep_mass
same_top10_diverse,6,pos_mass
same_top10_diverse,7,sum_negative_dep
same_top10_diverse,8,unique_redundancy_edges
same_top10_diverse,9,max_rules_per_candidate
same_top10_diverse,10,topk_rule_weight
same_top8_diverse_a,1,synergy_weight_top5_mean
same_top8_diverse_a,2,max_candidate_dep_score
same_top8_diverse_a,3,candidate_dep_coverage
same_top8_diverse_a,4,abs_dep_mass
same_top8_diverse_a,5,max_rules_per_candidate
same_top8_diverse_a,6,num_neg_dep
same_top8_diverse_a,7,effective_candidates
same_top8_diverse_a,8,topk_rule_weight
same_top8_diverse_b,1,synergy_weight_top5_mean
same_top8_diverse_b,2,max_candidate_dep_score
same_top8_diverse_b,3,candidate_dep_coverage
same_top8_diverse_b,4,pos_mass
same_top8_diverse_b,5,sum_negative_dep
same_top8_diverse_b,6,unique_redundancy_edges
same_top8_diverse_b,7,max_rules_per_candidate
same_top8_diverse_b,8,topk_rule_weight
