dataset,feature_set,feature_count,gain_10,gain_20,gain_30,gain_50,gain_100
FB15k-237,diverse_prefix3,3,0.12179107916111453,0.0763261063842855,0.04569217813982318,0.022351859493257464,0.010000388562665385
FB15k-237,diverse_prefix4,4,0.14162434892497844,0.07965651365409765,0.04837870286696644,0.02316067113234488,0.010000388562665607
FB15k-237,diverse_prefix5,5,0.1494976054282402,0.08337060030997923,0.048266755366100034,0.024214902222252643,0.010000388562665607
FB15k-237,same_top8_diverse_a,8,0.15831446462471876,0.07939550278143237,0.04742261517502633,0.025344625365759876,0.010000388562665607
FB15k-237,same_top8_diverse_b,8,0.15247962194619724,0.08109780149669277,0.047753999152036375,0.0252887079481372,0.010000388562665607
FB15k-237,same_top10_diverse,10,0.16082159160356246,0.07996093904012924,0.04787315702877115,0.025829300678694933,0.010000388562665607
KG20C,diverse_prefix3,3,0.07341509670180435,0.06896937331552033,0.06570022058445502,0.061458495259000934,0.03344470338118666
KG20C,diverse_prefix4,4,0.07391966235069991,0.06932090680918801,0.06580229408377147,0.06147979903459144,0.03344470338118666
KG20C,diverse_prefix5,5,0.07410896788095611,0.06948107111319057,0.06624818988547365,0.06138665207535676,0.03344470338118688
KG20C,same_top8_diverse_a,8,0.07401359092564275,0.07257195418967077,0.06995693632853306,0.06528868592740422,0.03344470338118666
KG20C,same_top8_diverse_b,8,0.07413590453415031,0.07065516159658558,0.06804827149932913,0.06494109681008764,0.03344470338118666
KG20C,same_top10_diverse,10,0.07415752899616446,0.07265048050077061,0.07027755039711336,0.06564476272877062,0.03344470338118666
WN18RR,diverse_prefix3,3,0.03498854838323595,0.026392096918356645,0.01864205410109654,0.007935274392778746,0.0053451824556871586
WN18RR,diverse_prefix4,4,0.03311359775776812,0.028518817973113952,0.018442605865540918,0.007972153527462833,0.005345182455687381
WN18RR,diverse_prefix5,5,0.04277250216982198,0.02995170031922445,0.02230052970657126,0.014620528104189123,0.005345182455687381
WN18RR,same_top8_diverse_a,8,0.05058525557953253,0.04088520277511587,0.03267169665941738,0.021809627032995493,0.0053451824556871586
WN18RR,same_top8_diverse_b,8,0.049332884393797016,0.03842531725110421,0.03228154293644914,0.02282899645383929,0.005345182455687381
WN18RR,same_top10_diverse,10,0.05103833882316966,0.03811433898213057,0.03208070997815593,0.022061259991531967,0.005345182455687381
YAGO3-10,diverse_prefix3,3,0.11841755747323979,0.09166778826105038,0.0753378595755212,0.05725434282791508,0.03342845900335045
YAGO3-10,diverse_prefix4,4,0.16909657392932798,0.11748622670040731,0.08648597025885074,0.06130086672440682,0.03342845900335045
YAGO3-10,diverse_prefix5,5,0.16604877195714773,0.11019686073179535,0.08723651187817194,0.06149575169097665,0.03342845900335045
YAGO3-10,same_top8_diverse_a,8,0.20477023153354934,0.1324799673019872,0.09901417894729359,0.06678349653495608,0.03342845900335045
YAGO3-10,same_top8_diverse_b,8,0.20887415289918487,0.13121706945329992,0.09334452710227015,0.06578991987906568,0.03342845900335045
YAGO3-10,same_top10_diverse,10,0.22102910098239859,0.13815894853963706,0.09436739487845558,0.06617652097600413,0.03342845900335045
codex-l,diverse_prefix3,3,0.2632188132086415,0.12000510798331265,0.06777092072667057,0.041936398815448195,0.014819848478801356
codex-l,diverse_prefix4,4,0.31690886317174805,0.14236831265221994,0.0970040170776092,0.05361142501304994,0.014819848478801356
codex-l,diverse_prefix5,5,0.3060407970511194,0.14155754911526985,0.09302118678294513,0.057958382016772614,0.014819848478801356
codex-l,same_top8_diverse_a,8,0.40892291696228433,0.15811762158492715,0.0995012230967598,0.06255963944202514,0.014819848478801356
codex-l,same_top8_diverse_b,8,0.3407280311731533,0.1479729215503338,0.09565949552358766,0.05487883666906579,0.014819848478801356
codex-l,same_top10_diverse,10,0.38217833131210366,0.1511481868017619,0.09722610327417658,0.05733400858006532,0.014819848478801356
codex-m,diverse_prefix3,3,0.03912934790185796,0.018668762498518232,0.016701432914702607,0.02147930983985824,0.00857613622468878
codex-m,diverse_prefix4,4,0.0406005856020033,0.019101398723975205,0.01741404021186188,0.021822236752147228,0.00857613622468878
codex-m,diverse_prefix5,5,0.04511631038071928,0.030501436695379303,0.02390754970686304,0.01815602466765731,0.00857613622468878
codex-m,same_top8_diverse_a,8,0.051129294010319626,0.03053092701118776,0.024323171990204617,0.016497668299843893,0.00857613622468878
codex-m,same_top8_diverse_b,8,0.04636552484543577,0.028632759939849706,0.02256885877218351,0.01619632985027386,0.00857613622468878
codex-m,same_top10_diverse,10,0.04596319369376278,0.02926307172631204,0.022646271674751528,0.016143846115808103,0.00857613622468878
hetionet,diverse_prefix3,3,0.11610123748036738,0.1161012687529519,0.1020904903929325,0.07360003998174647,0.04573509831430522
hetionet,diverse_prefix4,4,0.11608947734336583,0.11609247460044347,0.10352998713475281,0.07373982479718721,0.04573509831430522
hetionet,diverse_prefix5,5,0.1161012425963952,0.11610125282503003,0.1033532603055427,0.07192386838519793,0.04573509831430522
hetionet,same_top8_diverse_a,8,0.11610127748036003,0.11610126894604256,0.10407717636591451,0.07368017023747075,0.045735098314305
hetionet,same_top8_diverse_b,8,0.11615146961481004,0.11612699190181242,0.102948227136614,0.0739590253449176,0.045735098314305
hetionet,same_top10_diverse,10,0.11614923441437863,0.11612502417535531,0.10786176517025181,0.07550354312037433,0.04573509831430478
