dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced2_syn_topk_global_rf,0.02,816,0.25416570714950604,0.29590972338868016,0.16423937244460496
FB15k-237,balanced2_syn_topk_global_rf,0.04,1633,0.25350906432397396,0.283842101672535,0.11965267368032517
FB15k-237,balanced2_syn_topk_global_rf,0.06,2449,0.2473924780195374,0.2731547913364271,0.10413539458889765
FB15k-237,balanced2_syn_topk_global_rf,0.08,3266,0.25756835230833836,0.28183510060039413,0.09421479026664636
FB15k-237,balanced2_syn_topk_global_rf,0.1,4082,0.24948956351774493,0.2704425124066262,0.08398326805117429
FB15k-237,balanced2_syn_topk_global_rf,0.12,4898,0.25081316554029265,0.2713261633693374,0.08178596918888359
FB15k-237,balanced2_syn_topk_global_rf,0.14,5715,0.25552924043897013,0.2746395692980017,0.07478724871643738
FB15k-237,balanced2_syn_topk_global_rf,0.16,6531,0.25907475658039153,0.2773785835323899,0.07065075422089095
FB15k-237,balanced2_syn_topk_global_rf,0.18,7347,0.26383110184537417,0.28009571633707253,0.061647828394510995
FB15k-237,balanced2_syn_topk_global_rf,0.2,8164,0.2690002017245333,0.2840990541975437,0.05612952100486601
FB15k-237,balanced2_syn_topk_global_rf,0.22,8980,0.2758198796546156,0.2897844123419756,0.05062917402779865
FB15k-237,balanced2_syn_topk_global_rf,0.24,9797,0.2957927894623838,0.30864852304087304,0.04346195727710289
FB15k-237,balanced2_syn_topk_global_rf,0.26,10613,0.30171444968164157,0.31370579233876206,0.03974401182897713
FB15k-237,balanced2_syn_topk_global_rf,0.28,11429,0.3052359793989679,0.31674371872472656,0.037701123401042924
FB15k-237,balanced2_syn_topk_global_rf,0.3,12246,0.30550428153520165,0.31761042442645515,0.03962675361018975
FB15k-237,balanced2_syn_topk_global_rf,0.32,13062,0.3072598835949621,0.31891200679220133,0.03792269612586119
FB15k-237,balanced2_syn_topk_global_rf,0.34,13878,0.3073656250065273,0.3184056542319362,0.035918230040117294
FB15k-237,balanced2_syn_topk_global_rf,0.36,14695,0.3123080341739156,0.3224369615436849,0.0324324905587563
FB15k-237,balanced2_syn_topk_global_rf,0.38,15511,0.31861940310138465,0.32805107878572515,0.02960169905703869
FB15k-237,balanced2_syn_topk_global_rf,0.4,16328,0.3212073563949543,0.3300838485841766,0.027634772406357477
FB15k-237,balanced2_syn_topk_global_rf,0.42,17144,0.3261725275934641,0.3346393748498286,0.025958186358715718
FB15k-237,balanced2_syn_topk_global_rf,0.44,17960,0.32855623947291174,0.3366824542699602,0.024733101432147464
FB15k-237,balanced2_syn_topk_global_rf,0.46,18777,0.3334529130395921,0.34139304223788985,0.023811845354474226
FB15k-237,balanced2_syn_topk_global_rf,0.48,19593,0.33968950397232894,0.34748627648428365,0.02295264475581149
FB15k-237,balanced2_syn_topk_global_rf,0.5,20410,0.3417621396845994,0.3492514612354891,0.021913842059279487
FB15k-237,balanced2_syn_topk_global_rf,0.52,21226,0.3449561745485313,0.3519923826650383,0.020397397222171154
FB15k-237,balanced2_syn_topk_global_rf,0.54,22042,0.3485704902516851,0.3551178484785867,0.018783455312508135
