dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,hard_synergy_weight_top5_mean_desc,0.02,816,0.2506342369747462,0.26414475194049775,0.05390530491296319
FB15k-237,hard_synergy_weight_top5_mean_desc,0.04,1633,0.27276069132343556,0.28490467503597683,0.044522484723215294
FB15k-237,hard_synergy_weight_top5_mean_desc,0.06,2449,0.24526438723088342,0.25843688269955156,0.053707330352319005
FB15k-237,hard_synergy_weight_top5_mean_desc,0.08,3266,0.2433127473086674,0.2561961344521271,0.05294990618438811
FB15k-237,hard_synergy_weight_top5_mean_desc,0.1,4082,0.25694595493530376,0.26922823119665323,0.04780101038929385
FB15k-237,hard_synergy_weight_top5_mean_desc,0.12,4898,0.2617946173822986,0.27296542104133864,0.04267010441520025
FB15k-237,hard_synergy_weight_top5_mean_desc,0.14,5715,0.2577130027121375,0.2662915956012725,0.03328738867986902
FB15k-237,hard_synergy_weight_top5_mean_desc,0.16,6531,0.25165463954573236,0.2594304304798073,0.030898659162855946
FB15k-237,hard_synergy_weight_top5_mean_desc,0.18,7347,0.2514022336100337,0.25910563302564826,0.030641730206597106
FB15k-237,hard_synergy_weight_top5_mean_desc,0.2,8164,0.2610472099004942,0.269336054638529,0.0317522824365537
FB15k-237,hard_synergy_weight_top5_mean_desc,0.22,8980,0.27028241215131815,0.2792093375656979,0.03302814024532963
FB15k-237,hard_synergy_weight_top5_mean_desc,0.24,9797,0.27572051331072495,0.2843875061550899,0.03143397906922374
FB15k-237,hard_synergy_weight_top5_mean_desc,0.26,10613,0.2799022855924611,0.2884894417958793,0.030679121412824584
FB15k-237,hard_synergy_weight_top5_mean_desc,0.28,11429,0.2844737110719913,0.29322311038846444,0.03075644242662179
FB15k-237,hard_synergy_weight_top5_mean_desc,0.3,12246,0.28763739256170395,0.2961586218795571,0.029624901136680926
FB15k-237,hard_synergy_weight_top5_mean_desc,0.32,13062,0.29315648752489565,0.3014372442154041,0.028246881931293544
FB15k-237,hard_synergy_weight_top5_mean_desc,0.34,13878,0.29672775286249914,0.3047378812154139,0.026994874175542805
FB15k-237,hard_synergy_weight_top5_mean_desc,0.36,14695,0.3024954215855395,0.31018516586073297,0.025421026985755546
FB15k-237,hard_synergy_weight_top5_mean_desc,0.38,15511,0.30799841637929404,0.3153389550157402,0.023833040191370447
FB15k-237,hard_synergy_weight_top5_mean_desc,0.4,16328,0.3142183211320978,0.3211964108243357,0.022207774731583196
FB15k-237,hard_synergy_weight_top5_mean_desc,0.42,17144,0.3233486415441271,0.32986058471539675,0.020139076942375045
FB15k-237,hard_synergy_weight_top5_mean_desc,0.44,17960,0.33178755686737627,0.3380117355589901,0.018759530195708418
FB15k-237,hard_synergy_weight_top5_mean_desc,0.46,18777,0.339759365966317,0.3457916632164628,0.017754616515101018
FB15k-237,hard_synergy_weight_top5_mean_desc,0.48,19593,0.33920648485129173,0.34498755183776586,0.01704291410881642
FB15k-237,hard_synergy_weight_top5_mean_desc,0.5,20410,0.35030485339848644,0.3558557060191492,0.015845777090471636
FB15k-237,hard_synergy_weight_top5_mean_desc,0.52,21226,0.3428534815689742,0.348186529559227,0.015554889411790729
FB15k-237,hard_synergy_weight_top5_mean_desc,0.54,22042,0.341489378292644,0.3466241254456666,0.015036330496412509
FB15k-237,hard_synergy_weight_top5_mean_desc,0.56,22859,0.33730584339783115,0.34240901425198156,0.015129209748470096
FB15k-237,hard_synergy_weight_top5_mean_desc,0.58,23675,0.33896964594215806,0.3439070287865977,0.01456585539013755
FB15k-237,hard_synergy_weight_top5_mean_desc,0.6,24491,0.3403990017694526,0.34511515355371264,0.013854775600823377
FB15k-237,hard_synergy_weight_top5_mean_desc,0.62,25308,0.3470273792631264,0.3522171032450093,0.01495479691804924
FB15k-237,hard_synergy_weight_top5_mean_desc,0.64,26124,0.34786650689130905,0.3530091495438231,0.01478337968915433
FB15k-237,hard_synergy_weight_top5_mean_desc,0.66,26941,0.3462440365131076,0.35123073630673635,0.014402269115875388
FB15k-237,hard_synergy_weight_top5_mean_desc,0.68,27757,0.3538387272841625,0.3586767089262296,0.013672843781686428
FB15k-237,hard_synergy_weight_top5_mean_desc,0.7,28573,0.350834554783379,0.3555343712688322,0.013396104863031777
FB15k-237,hard_synergy_weight_top5_mean_desc,0.72,29390,0.3547087617553317,0.3592779300587974,0.012881464446647506
FB15k-237,hard_synergy_weight_top5_mean_desc,0.74,30206,0.34817371999152336,0.3526294986253942,0.012797573102241389
FB15k-237,hard_synergy_weight_top5_mean_desc,0.76,31022,0.34749469936391475,0.3518360024110622,0.012493148974917156
FB15k-237,hard_synergy_weight_top5_mean_desc,0.78,31839,0.35617418066715517,0.36040408434279214,0.011875941337785578
FB15k-237,hard_synergy_weight_top5_mean_desc,0.8,32655,0.3548964694324935,0.3590206740911555,0.01162086696792719
FB15k-237,hard_synergy_weight_top5_mean_desc,0.82,33472,0.34989827021893133,0.3539218093898385,0.011499168510863633
