dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced1_syn_global_rf,0.02,816,0.2366206352010013,0.2598538583642971,0.09818764599106045
FB15k-237,balanced1_syn_global_rf,0.04,1633,0.28180979756261976,0.29846183056332204,0.05908961698537851
FB15k-237,balanced1_syn_global_rf,0.06,2449,0.2907241142594611,0.30630378821572213,0.05358920430782255
FB15k-237,balanced1_syn_global_rf,0.08,3266,0.264447058083409,0.278918998338756,0.05472528361719342
FB15k-237,balanced1_syn_global_rf,0.1,4082,0.26739783369510667,0.2809794686495306,0.05079186606242314
FB15k-237,balanced1_syn_global_rf,0.12,4898,0.2587770937462103,0.27186222485258993,0.050565260305506676
FB15k-237,balanced1_syn_global_rf,0.14,5715,0.2652013351659623,0.27952782154240535,0.05402116986883798
FB15k-237,balanced1_syn_global_rf,0.16,6531,0.2658875801084851,0.27981487543705696,0.0523803907007967
FB15k-237,balanced1_syn_global_rf,0.18,7347,0.27275137509535985,0.2868184151091399,0.05157458879487553
FB15k-237,balanced1_syn_global_rf,0.2,8164,0.27151060283819384,0.2845950177659582,0.04819117482333457
FB15k-237,balanced1_syn_global_rf,0.22,8980,0.2717685473388849,0.2827601755185707,0.040444813380040134
FB15k-237,balanced1_syn_global_rf,0.24,9797,0.27939267042837385,0.28984608868909456,0.03741479060525532
FB15k-237,balanced1_syn_global_rf,0.26,10613,0.2890056997718269,0.2991149236644659,0.034979323593342215
FB15k-237,balanced1_syn_global_rf,0.28,11429,0.29334830599220973,0.3032914988711146,0.033895518316608086
FB15k-237,balanced1_syn_global_rf,0.3,12246,0.2936944031462608,0.30300618771343124,0.03170569294959691
FB15k-237,balanced1_syn_global_rf,0.32,13062,0.29770125920190454,0.30717973222399836,0.03183887447269873
FB15k-237,balanced1_syn_global_rf,0.34,13878,0.2992708487087853,0.30866791008457944,0.031399855403017485
FB15k-237,balanced1_syn_global_rf,0.36,14695,0.302593180050945,0.31096758465179714,0.02767545719121034
FB15k-237,balanced1_syn_global_rf,0.38,15511,0.30899138225290934,0.3165070325703873,0.024323171289374113
FB15k-237,balanced1_syn_global_rf,0.4,16328,0.3180132483076087,0.32515168471058253,0.022446978045609578
FB15k-237,balanced1_syn_global_rf,0.42,17144,0.3256616061568259,0.33232785143904653,0.020469853234742263
FB15k-237,balanced1_syn_global_rf,0.44,17960,0.335422679559092,0.34179329178566337,0.01899278914277791
FB15k-237,balanced1_syn_global_rf,0.46,18777,0.3383769542478641,0.3445526388078646,0.01825090179006894
FB15k-237,balanced1_syn_global_rf,0.48,19593,0.3374614588413239,0.34337994141076844,0.01753824744836252
FB15k-237,balanced1_syn_global_rf,0.5,20410,0.3502013096952482,0.35588407723590804,0.016227145311378477
FB15k-237,balanced1_syn_global_rf,0.52,21226,0.3422089019037891,0.3476687935535698,0.01595484985751683
FB15k-237,balanced1_syn_global_rf,0.54,22042,0.3403148637714913,0.34557175880207214,0.015447150830622203
FB15k-237,balanced1_syn_global_rf,0.56,22859,0.33566347653112516,0.3408846761572449,0.01555486369883785
FB15k-237,balanced1_syn_global_rf,0.58,23675,0.34507704370270376,0.3501305620060951,0.014644608778279444
FB15k-237,balanced1_syn_global_rf,0.6,24491,0.34504902569044005,0.3498757685601614,0.013988571218432222
FB15k-237,balanced1_syn_global_rf,0.62,25308,0.34546601487758744,0.3508699766358072,0.015642527847882892
FB15k-237,balanced1_syn_global_rf,0.64,26124,0.3468911851006724,0.35213690025368466,0.015122076830778708
FB15k-237,balanced1_syn_global_rf,0.66,26941,0.3483837181605738,0.3534703918278062,0.014600778974658946
FB15k-237,balanced1_syn_global_rf,0.68,27757,0.35658112572033035,0.3615161057237888,0.013839711772431151
FB15k-237,balanced1_syn_global_rf,0.7,28573,0.3567906359476271,0.36158468067362703,0.013436576644639375
FB15k-237,balanced1_syn_global_rf,0.72,29390,0.35328941345483006,0.3579500432932672,0.013192101605481676
FB15k-237,balanced1_syn_global_rf,0.74,30206,0.34703944782958496,0.3515844081086507,0.013096379410151515
FB15k-237,balanced1_syn_global_rf,0.76,31022,0.35042410100281124,0.3548521935386164,0.012636381239570227
FB15k-237,balanced1_syn_global_rf,0.78,31839,0.3584845183428475,0.36279898445816977,0.012035292724122515
FB15k-237,balanced1_syn_global_rf,0.8,32655,0.3535294658939657,0.35773611990240994,0.011899019499850949
FB15k-237,balanced1_syn_global_rf,0.82,33472,0.34863271677073093,0.3527375109743002,0.011773978763641502
FB15k-237,balanced1_syn_global_rf,0.84,34288,0.35461212583801627,0.35853654586976047,0.011066795932231699
FB15k-237,balanced1_syn_global_rf,0.86,35104,0.3575175149675564,0.3613507110149711,0.010721701418635599
FB15k-237,balanced1_syn_global_rf,0.88,35921,0.36143229222156964,0.36517830469473145,0.010364354690436395
FB15k-237,balanced1_syn_global_rf,0.9,36737,0.3584501662195282,0.36211297249245317,0.010218453269405847
FB15k-237,balanced1_syn_global_rf,0.92,37553,0.3589515131731951,0.36253739239463323,0.00998987074810831
FB15k-237,balanced1_syn_global_rf,0.94,38370,0.3655063807622972,0.3690178115500413,0.009607030061748123
FB15k-237,balanced1_syn_global_rf,0.96,39186,0.35977980392082076,0.36321811350398164,0.00955670536725739
FB15k-237,balanced1_syn_global_rf,0.98,40003,0.3538753129606794,0.3572434003372697,0.009517723484046892
FB15k-237,balanced1_syn_global_rf,1.0,40819,0.3528119855172369,0.3560530550713822,0.009186393000208737
KG20C,balanced1_syn_global_rf,0.02,149,0.17867468946957737,0.20566454366275982,0.151055833779848
KG20C,balanced1_syn_global_rf,0.04,298,0.18153356726614042,0.1977365832096918,0.0892563077317634
KG20C,balanced1_syn_global_rf,0.06,447,0.16851054244851674,0.18492801840265485,0.09742699605369776
KG20C,balanced1_syn_global_rf,0.08,596,0.15551364472058632,0.1698744989523625,0.09234465732944885
KG20C,balanced1_syn_global_rf,0.1,745,0.1395468268469076,0.15529687495797587,0.11286568435086752
KG20C,balanced1_syn_global_rf,0.12,894,0.1419587966115486,0.1570486689581221,0.10629755046363876
