dataset,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,0.02,816,0.227731,0.262812,15.4046
FB15k-237,0.04,1633,0.247851,0.276073,11.3867
FB15k-237,0.06,2449,0.261699,0.283202,8.2167
FB15k-237,0.08,3266,0.276123,0.294552,6.6745
FB15k-237,0.1,4082,0.281271,0.299339,6.4238
FB15k-237,0.12,4898,0.284026,0.302248,6.4159
FB15k-237,0.14,5715,0.286093,0.302486,5.7297
FB15k-237,0.16,6531,0.291613,0.306494,5.1032
FB15k-237,0.18,7347,0.28761,0.302282,5.1014
FB15k-237,0.2,8164,0.28191,0.2953,4.7497
FB15k-237,0.22,8980,0.283868,0.297144,4.6769
FB15k-237,0.24,9797,0.287497,0.299782,4.2732
FB15k-237,0.26,10613,0.29017,0.301833,4.0194
FB15k-237,0.28,11429,0.29067,0.301573,3.7508
FB15k-237,0.3,12246,0.293437,0.303829,3.5415
FB15k-237,0.32,13062,0.297254,0.307559,3.4668
FB15k-237,0.34,13878,0.302908,0.312987,3.3274
FB15k-237,0.36,14695,0.302119,0.311419,3.078
FB15k-237,0.38,15511,0.307815,0.31569,2.5582
FB15k-237,0.4,16328,0.31712,0.324599,2.3586
FB15k-237,0.42,17144,0.324636,0.331627,2.1535
FB15k-237,0.44,17960,0.334407,0.341087,1.9978
FB15k-237,0.46,18777,0.337669,0.344141,1.9167
FB15k-237,0.48,19593,0.336628,0.342831,1.8426
FB15k-237,0.5,20410,0.34955,0.355505,1.7038
FB15k-237,0.52,21226,0.341575,0.347298,1.6752
FB15k-237,0.54,22042,0.339675,0.345184,1.622
FB15k-237,0.56,22859,0.335019,0.340484,1.6312
FB15k-237,0.58,23675,0.344327,0.349616,1.536
FB15k-237,0.6,24491,0.344324,0.349378,1.4678
FB15k-237,0.62,25308,0.344943,0.350567,1.6304
FB15k-237,0.64,26124,0.346343,0.351802,1.5761
FB15k-237,0.66,26941,0.347706,0.353,1.5224
FB15k-237,0.68,27757,0.356103,0.361239,1.4422
FB15k-237,0.7,28573,0.356152,0.361141,1.4008
