experiment,relations,test_cases,weighted_stage1_mrr,weighted_stage2_mrr,gain_pt
tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.3252897166943474,0.3316621656860128,0.0195900720638309
tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,63,30620,0.3252897166943474,0.3315981618779819,0.019393312668294804
tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.3256498559419055,0.331684837817247,0.018532118977562684
tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.3256498790657143,0.33145684961165967,0.017831944426343727
tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.3252897166943474,0.33056353814238965,0.01621269034150763
tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_0,63,30620,0.3252897166943474,0.3304296121647479,0.01580097742600972
tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.3256498559419055,0.33070845783262587,0.015533868043911658
tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,63,30620,0.3256498559419055,0.3305940139295584,0.015182435666530436
tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.3293029791018135,0.334177848589363,0.014803599714906523
tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,63,30620,0.32619671457723565,0.3307614413801983,0.013993785341703147
tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.3294953964147769,0.33408734387155126,0.013936302317844707
tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,63,30620,0.32930356596813376,0.3336186537981015,0.01310367780950572
tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.3259493591602321,0.3301963692855429,0.013029662448954316
tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.32636806228383314,0.3303003786652055,0.012048716880736166
tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.3258904908762653,0.32975576676875706,0.011860658720353134
tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.32949614714119063,0.3333859916138512,0.011805432343928945
tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.32930342882002633,0.33306740013000136,0.011430100571567792
tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.3258254284987097,0.3294947955405987,0.011261757741856337
tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.3261538487459621,0.3298044228093735,0.011192797746976124
best_combination_dep_l1_regularization_dep_fix_topk8_0412,63,30620,0.3304356469611156,0.33412573529776907,0.011167343386192519
tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.32644145681551046,0.33002801181405095,0.010986824509141346
tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.329401799886138,0.33301282584514796,0.010962374705475675
tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,63,30620,0.32937300737443215,0.33294669941147664,0.010849984537384838
tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_0,63,30620,0.3293032458229876,0.33287554764714683,0.01084806138254546
structural_rd,63,30620,0.3293032458229876,0.3328745437548952,0.010845012848210267
tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,63,30620,0.3258910313576724,0.3293475528218058,0.010606371859125385
tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.3290475303288528,0.3324152772567505,0.010234834233619594
tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.32615013130012493,0.3294454542069178,0.010103699463976268
structural_dep_scale,63,30620,0.33043568404685497,0.3337718644769675,0.010096307969085672
tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.3269587696216856,0.33025641070150485,0.010085800982291726
tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.32949648482853655,0.33279264641892514,0.010003632032990817
tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,63,30620,0.3296537691610087,0.33290429865027393,0.00986043477536458
tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,63,30620,0.3299848731695614,0.3332366395809434,0.009854289319835452
tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_0,63,30620,0.3264129652530603,0.3296209279701061,0.00982792676313804
tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,63,30620,0.3298465178306969,0.33308579959421486,0.00982057286771365
tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.3257512379805923,0.32894658329664533,0.009809157858805762
tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,63,30620,0.3274025968205002,0.3305669398097122,0.009664990503868376
dep_scale_surprisal_init,63,30620,0.33027701476051985,0.3334436673298323,0.009587868449182135
best_combination,63,30620,0.33043568404685497,0.33357538149817706,0.009501690050148781
structural_none_mix_k1,63,30620,0.3304356860323788,0.33357538149817706,0.00950168398424922
structural_none_lift_k1,63,30620,0.3304357031838002,0.3335741598280339,0.00949793443624336
tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.32585725594797055,0.3289436338459255,0.009471564133123778
structural_none_ratio_k1,63,30620,0.33043553014601246,0.3335601035255728,0.00945592436194631
structural_none,63,30620,0.3304356668954335,0.3335351154490041,0.009379884994531684
structural_none_lift_k4,63,30620,0.3304356668954335,0.3335300111061186,0.009364437682401361
structural_none_ratio_k4,63,30620,0.3304356668954335,0.3335300111061186,0.009364437682401361
structural_none_mix_k4,63,30620,0.3304356469611156,0.33352986021215225,0.00936404192311846
structural_none_ratio_k2,63,30620,0.3304355102116945,0.3335296355512332,0.00936377975102154
