coverage,rank,feature,sort_direction,macro_gain_pt,positive_datasets,min_dataset_gain,max_dataset_gain
0.1,1,dep_candidate_ratio,desc,0.04177061981367206,7,0.0154159434053327,0.11610129719370965
0.1,2,candidate_dep_coverage,desc,0.04177061981367206,7,0.0154159434053327,0.11610129719370965
0.1,3,synergy_weight_mean,desc,0.04122189598600449,7,0.005684592237826802,0.10617977890782582
0.1,4,synergy_weight_top1_sum,desc,0.04065140673286573,7,0.000663408409938615,0.11610124370899322
0.1,5,synergy_weight_top1_mean,desc,0.04065140673286573,7,0.000663408409938615,0.11610124370899322
0.1,6,synergy_weight_max,desc,0.04065140673286573,7,0.000663408409938615,0.11610124370899322
0.1,7,redundancy_weight_top10_mean,desc,0.04045205776270163,7,0.005016706513237601,0.0774193622980337
0.1,8,topk_synergy,desc,0.039702122440328814,6,-0.013510079528083252,0.11610123678538087
0.1,9,synergy_weight_top3_mean,desc,0.039702122440328814,6,-0.013510079528083252,0.11610123678538087
0.1,10,synergy_weight_top3_sum,desc,0.039255918968649675,6,-0.013510079528083252,0.11610123678538087
0.1,11,topk_synergy_sum,desc,0.039255918968649675,6,-0.013510079528083252,0.11610123678538087
0.1,12,redundancy_weight_top5_mean,desc,0.038596139492446176,7,0.004729858689555222,0.07684871986119979
0.1,13,redundancy_weight_top1_sum,desc,0.03858814860484504,7,0.003778211370675022,0.0739161995982498
0.1,14,redundancy_weight_max,desc,0.03858814860484504,7,0.003778211370675022,0.0739161995982498
0.1,15,redundancy_weight_top1_mean,desc,0.03858814860484504,7,0.003778211370675022,0.0739161995982498
0.1,16,redundancy_weight_top5_sum,desc,0.03820375238397644,7,0.005970768986242936,0.0769823737209181
0.1,17,synergy_weight_top5_mean,desc,0.03816683558839191,6,-0.025634047492453793,0.11610123670543748
0.1,18,redundancy_weight_top10_sum,desc,0.037987925246650844,7,0.006334796472549531,0.07748969929289173
0.1,19,redundancy_weight_top3_mean,desc,0.037764221514261766,7,0.004066664486012339,0.07614804975348055
0.1,20,topk_redundancy,desc,0.037764221514261766,7,0.004066664486012339,0.07614804975348055
0.1,21,synergy_weight_top5_sum,desc,0.037745431518444054,6,-0.025634047492453793,0.11610123670543748
0.1,22,redundancy_weight_top3_sum,desc,0.03676232396476774,7,0.0037079539429016872,0.0759971195383784
0.1,23,effective_candidates,desc,0.03618680434441287,7,0.016527085426930377,0.06724738620363024
0.1,24,s1_entropy,desc,0.03618680434441287,7,0.016527085426930377,0.06724738620363024
0.1,25,redundancy_weight_mean,desc,0.03616432744272226,7,0.001987529254652287,0.0781075952567194
0.1,26,num_candidates,desc,0.03589125458578803,7,0.009402552626851302,0.0745982811221606
0.1,27,max_rules_per_candidate,desc,0.035733807067066206,7,0.0001874980446401331,0.11610129406569314
0.1,28,neg_dep_ratio,desc,0.03150442580050899,7,0.010293067186338378,0.08485239821763124
0.1,29,sum_negative_dep,desc,0.030751177033275394,6,-0.010872692584493415,0.06516460809037516
0.1,30,max_candidate_dep_score,desc,0.030365651133775318,7,0.0036093345911740737,0.056943729785976505
0.1,31,stage2_top_margin,asc,0.02884248565785314,7,0.0016461301681591767,0.07723683860055286
0.1,32,pos_dep_ratio,desc,0.02831834625906802,7,0.00299898835140322,0.05844946948920615
0.1,33,synergy_weight_top10_mean,desc,0.028188240240750444,6,-0.09896095477796818,0.1161012348106365
0.1,34,synergy_weight_top10_sum,desc,0.02751599753493864,6,-0.09896095477796818,0.11610126185238712
0.1,35,candidate_rule_coverage,desc,0.026827279927111362,7,0.00024317420035679937,0.11610126976826796
0.1,36,neg_mass,desc,0.026579134287614936,6,-0.06384719737034872,0.0721604105051794
0.1,37,red_rule_ratio,desc,0.026445715404702832,6,-0.01611857213087231,0.05427581132833237
0.1,38,syn_rule_ratio,desc,0.024428181773314166,6,-0.036566834502450796,0.056020223285116355
0.1,39,avg_stage1_score,desc,0.024186203795696963,6,-0.00020225018452291188,0.0557563551579916
0.1,40,avg_negative_dep,desc,0.024136554647454726,6,-0.04849056487159298,0.06533886745405071
0.1,41,dep_rule_ratio,desc,0.023935707789928835,6,-0.038348586754244796,0.055977365377655186
0.1,42,num_neg_dep,desc,0.02387444573131698,6,-0.0812493700906538,0.06674678322640348
0.1,43,unique_redundancy_edges,desc,0.02387444573131698,6,-0.0812493700906538,0.06674678322640348
0.1,44,dep_density,desc,0.023241439255949032,6,-0.010870944420031337,0.05318189054412059
0.1,45,num_pos_dep,desc,0.022847167203626863,6,-0.07603083998534099,0.060878513666231315
0.1,46,unique_synergy_edges,desc,0.022847167203626863,6,-0.07603083998534099,0.060878513666231315
0.1,47,rule_weight_top10_sum,desc,0.02236507187648746,7,0.005173455782647274,0.057100074657437716
0.1,48,rule_weight_top10_mean,desc,0.02228112396005704,7,0.00515340484823712,0.057100074657437716
0.1,49,max_stage2_score,desc,0.021884678482977944,6,0.0,0.06906477194037342
0.1,50,num_rules,desc,0.021832932856082992,6,-0.0007928163642025865,0.053337855852579885
0.1,51,query_num_nodes,desc,0.021832932856082992,6,-0.0007928163642025865,0.053337855852579885
0.1,52,num_rule_nodes,desc,0.021832932856082992,6,-0.0007928163642025865,0.053337855852579885
0.1,53,top1_rule_weight,desc,0.0216693419016325,6,0.0,0.07004498414230631
0.1,54,rule_weight_max,desc,0.0216693419016325,6,0.0,0.07004498414230631
0.1,55,rule_weight_top1_mean,desc,0.0216693419016325,6,0.0,0.07004498414230631
0.1,56,rule_weight_top1_sum,desc,0.0216693419016325,6,0.0,0.07004498414230631
0.1,57,rule_weight_top3_sum,desc,0.02147797648421828,7,0.0006586494746647631,0.06574714733717091
0.1,58,rule_weight_top3_mean,desc,0.021427662206195013,7,0.0006586479626764508,0.06574714733717091
0.1,59,topk_rule_weight,desc,0.021427662206195013,7,0.0006586479626764508,0.06574714733717091
0.1,60,sum_positive_dep,desc,0.021424640725213613,6,-0.03581219042059536,0.054206555252415356
0.1,61,weak_rule_score,asc,0.02128611997517146,6,0.0,0.06855175958921045
0.1,62,s1_top1,desc,0.021031977567269378,6,0.0,0.06906477194037342
0.1,63,max_stage1_score,desc,0.021031977567269378,6,0.0,0.06906477194037342
0.1,64,max_positive_dep,desc,0.02074264076562569,6,-0.014383611367203897,0.0538655570599087
0.1,65,avg_stage2_score,desc,0.020676081076901776,7,0.0013882278753978294,0.037307769970163385
0.1,66,max_negative_dep,desc,0.020578533020099155,6,-0.05259241483256649,0.06251886991362876
0.1,67,rule_weight_top5_sum,desc,0.020544515792421367,7,0.0024591419544701676,0.06110551777377937
0.1,68,rule_weight_top5_mean,desc,0.02048897468584083,7,0.002459135745047414,0.06110551777377937
0.1,69,rule_weight_top3_mean,asc,0.020313702187660963,7,0.0030329676731444266,0.06726100661806633
0.1,70,topk_rule_weight,asc,0.020313702187660963,7,0.0030329676731444266,0.06726100661806633
0.1,71,rule_weight_top3_sum,asc,0.02028884180860643,7,0.0030399782776080464,0.06726100661806633
0.1,72,weak_rule_score,desc,0.020069398911979657,7,0.0022290681600771745,0.06773511098549889
0.1,73,rule_weight_top5_mean,asc,0.02000588178967035,7,0.001879214984395583,0.0669643867137506
0.1,74,rule_weight_top5_sum,asc,0.0199794630628933,7,0.0018792153035016579,0.0669643867137506
0.1,75,avg_candidate_dep_score,desc,0.019911848289269223,7,0.0027293864329434037,0.059874558568436154
0.1,76,num_candidate_rule_edges,desc,0.019898669360992733,7,0.0009835657158492328,0.05356640089697384
0.1,77,top1_rule_weight,asc,0.019718565785253377,7,0.0022290681600773965,0.06773511098549956
0.1,78,rule_weight_max,asc,0.019718565785253377,7,0.0022290681600773965,0.06773511098549956
0.1,79,rule_weight_top1_sum,asc,0.019718565785253377,7,0.0022290681600773965,0.06773511098549956
0.1,80,rule_weight_top1_mean,asc,0.019718565785253377,7,0.0022290681600773965,0.06773511098549956
0.1,81,query_num_edges,desc,0.01950263983490332,6,-0.08413191931846686,0.053522429183052056
0.1,82,num_dependencies,desc,0.01950263983490332,6,-0.08413191931846686,0.053522429183052056
0.1,83,num_dependency_edges,desc,0.01950263983490332,6,-0.08413191931846686,0.053522429183052056
0.1,84,rule_weight_top10_mean,asc,0.019298434164789775,7,0.0005737164442733977,0.06520461549347689
0.1,85,rule_weight_top10_sum,asc,0.01925804218037319,7,0.0005222287011683591,0.06520461549347689
0.1,86,avg_candidate_dep_score,asc,0.018968920851789535,6,-0.11863448095664209,0.07839650645543084
0.1,87,rule_weight_mean,asc,0.01878788480233332,7,0.0021517464746776405,0.06404709203747805
0.1,88,rule_dominance_ratio,asc,0.018599641520961465,7,0.003960771169029931,0.03212664661825415
0.1,89,s1_top1,asc,0.018557652126322082,7,0.0006097619978620017,0.06268238635618384
0.1,90,max_stage1_score,asc,0.018557652126322082,7,0.0006097619978620017,0.06268238635618384
0.1,91,avg_positive_dep,desc,0.017995686449688186,6,-0.05807418271570719,0.05430808597343528
0.1,92,abs_dep_mass,desc,0.01799546635021043,6,-0.12585247790297283,0.07468542682130552
0.1,93,avg_rules_per_candidate,desc,0.017486552675315865,6,-0.004492701743066152,0.054792897856742906
0.1,94,stage2_top_margin,desc,0.017396918177311576,7,0.00021354741953349965,0.029179258931774532
0.1,95,pos_mass,desc,0.017290250275694672,6,-0.12502370546740083,0.07458078005405477
