dataset,feature,sort_direction,coverage,n,threshold,mrr_stage1,mrr_stage2,delta_mrr,gain_pt
FB15k-237,compact_formula,desc,0.02,816,0.9883265146132928,0.3717818947295537,0.38687559792385856,0.015093703194304864,0.04059827390272597
FB15k-237,compact_formula,desc,0.04,1633,0.9746319116097896,0.32207299536272377,0.33297377381140064,0.010900778448676873,0.0338456766187436
FB15k-237,compact_formula,desc,0.06,2449,0.9620152380019109,0.30024450587617046,0.31127758925691273,0.01103308338074227,0.03674699508171053
FB15k-237,compact_formula,desc,0.08,3266,0.9475366863470442,0.27849129901592984,0.2900249987668209,0.01153369975089108,0.041414937528196694
FB15k-237,compact_formula,desc,0.1,4082,0.9253043925622871,0.28352264688268264,0.2942909582699715,0.010768311387288843,0.03798042768606269
FB15k-237,compact_formula,desc,0.12,4898,0.9253043925622871,0.2820470468910261,0.29156723352093655,0.009520186629910443,0.033753895794515154
FB15k-237,compact_formula,desc,0.14,5715,0.9253043925622871,0.26973295621814414,0.27822785187309046,0.008494895654946322,0.03149372540178641
FB15k-237,compact_formula,desc,0.16,6531,0.9253043925622871,0.24864253695550667,0.256776727873321,0.008134190917814338,0.032714398016578716
FB15k-237,compact_formula,desc,0.18,7347,0.9253043925622871,0.25125749504393885,0.2597461315898345,0.008488636545895656,0.03378461026371049
FB15k-237,compact_formula,desc,0.2,8164,0.9132266836522208,0.2457530339414172,0.25439114807091695,0.008638114129499747,0.035149572686695274
FB15k-237,compact_formula,desc,0.22,8980,0.8784144638526177,0.2579299254068096,0.26708131805815255,0.00915139265134296,0.035480150808051114
FB15k-237,compact_formula,desc,0.24,9797,0.8495676033219824,0.2669049501736865,0.2764709216922892,0.009565971518602723,0.03584036756297593
FB15k-237,compact_formula,desc,0.26,10613,0.8284132389328499,0.26852118940066716,0.277974517514446,0.009453328113778858,0.03520514762681648
FB15k-237,compact_formula,desc,0.28,11429,0.8122810455915137,0.2685930354976542,0.27766500346077355,0.009071967963119376,0.033775886803284694
FB15k-237,compact_formula,desc,0.3,12246,0.7843161272936623,0.2688501410281471,0.27786730277099964,0.009017161742852553,0.03353973224030593
FB15k-237,compact_formula,desc,0.32,13062,0.7583355790195743,0.2756190711453585,0.28440025170068745,0.008781180555328949,0.031859843801221865
FB15k-237,compact_formula,desc,0.34,13878,0.7362502756069478,0.2781167077342334,0.28668802041981856,0.008571312685585142,0.030819121783132175
FB15k-237,compact_formula,desc,0.36,14695,0.713381023542958,0.28130754951277315,0.28984297013499516,0.008535420622222012,0.030341953626930485
FB15k-237,compact_formula,desc,0.38,15511,0.6821578186628776,0.2845349540934733,0.2927282640599177,0.008193309966444406,0.028795442698940965
FB15k-237,compact_formula,desc,0.4,16328,0.6572062029937039,0.29821319847893907,0.3064771805433622,0.008263982064423137,0.027711657654906796
FB15k-237,compact_formula,desc,0.42,17144,0.6252847938460031,0.30963825628353775,0.3175150502804073,0.007876793996869524,0.025438697696503976
FB15k-237,compact_formula,desc,0.44,17960,0.5680810406918347,0.3262879654404711,0.33402647964129356,0.007738514200822444,0.023716823850293833
FB15k-237,compact_formula,desc,0.46,18777,0.5447953159068081,0.34604513521619545,0.35354104490256355,0.007495909686368096,0.021661653129973812
FB15k-237,compact_formula,desc,0.48,19593,0.3106396531027218,0.3507189032483898,0.35792424101915477,0.007205337770764986,0.020544480790822828
FB15k-237,compact_formula,desc,0.5,20410,0.3106396531027218,0.3538122948577989,0.3608095543178634,0.006997259460064464,0.019776756098531578
