Dataset,Relation,Query,Direction,Rank1,Rank2,RR1,RR2,RR2 - RR1,#Candidates
YAGO3-10,isAffiliatedTo,Adam_Newbold isAffiliatedTo ?,tail,28,1,0.035714,1.0,0.964286,100
YAGO3-10,isAffiliatedTo,Peter_Hermann_(footballer) isAffiliatedTo ?,tail,26,1,0.038462,1.0,0.961538,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Germany_national_football_B_team,head,25,1,0.04,1.0,0.96,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Germany_national_football_B_team,head,25,1,0.04,1.0,0.96,101
YAGO3-10,isAffiliatedTo,Felix_Magath isAffiliatedTo ?,tail,22,1,0.045455,1.0,0.954545,100
YAGO3-10,playsFor,? playsFor Kasımpaşa_Spor_Kulübü,head,19,1,0.052632,1.0,0.947368,100
YAGO3-10,isAffiliatedTo,Frank_van_Hattum isAffiliatedTo ?,tail,18,1,0.055556,1.0,0.944444,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Irapuato_FC,head,18,1,0.055556,1.0,0.944444,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Total_Chalaco,head,18,1,0.055556,1.0,0.944444,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Twente,head,17,1,0.058824,1.0,0.941176,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Twente,head,17,1,0.058824,1.0,0.941176,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo U.S._Grosseto_F.C.,head,17,1,0.058824,1.0,0.941176,100
YAGO3-10,playsFor,? playsFor FB_Gulbene,head,16,1,0.0625,1.0,0.9375,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Tigres_UANL,head,15,1,0.066667,1.0,0.933333,100
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/nominated/for,? /award/award_nominee/award_nominations./award/award_nomination/nominated_for /m/03r0g9,head,14,1,0.071429,1.0,0.928571,100
YAGO3-10,isAffiliatedTo,Darius_Kampa isAffiliatedTo ?,tail,14,1,0.071429,1.0,0.928571,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Vorskla_Poltava,head,14,1,0.071429,1.0,0.928571,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo St._Johnstone_F.C.,head,14,1,0.071429,1.0,0.928571,100
YAGO3-10,playsFor,Fred_Jones_(footballer_born_1938) playsFor ?,tail,13,1,0.076923,1.0,0.923077,100
YAGO3-10,isAffiliatedTo,Milivoje_Ćirković isAffiliatedTo ?,tail,12,1,0.083333,1.0,0.916667,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo A.C._Reggiana_1919,head,12,1,0.083333,1.0,0.916667,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo A.C._Siena,head,12,1,0.083333,1.0,0.916667,100
YAGO3-10,playsFor,? playsFor Benin_national_football_team,head,12,1,0.083333,1.0,0.916667,100
YAGO3-10,isAffiliatedTo,Giovanni_Stroppa isAffiliatedTo ?,tail,11,1,0.090909,1.0,0.909091,100
YAGO3-10,isAffiliatedTo,Giuseppe_Mascara isAffiliatedTo ?,tail,11,1,0.090909,1.0,0.909091,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo N.E.C._(football_club),head,11,1,0.090909,1.0,0.909091,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Tokyo_Verdy,head,11,1,0.090909,1.0,0.909091,100
