dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0,author_in_affiliation,480,0.48310,0.46547,0.46434,-0.01876,-3.88387,-0.00114,dependency
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,4,paper_in_venue,369,0.40664,0.40640,0.40640,-0.00024,-0.05875,0.00000,rule_only
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,7,P530,297,0.78782,0.78672,0.78672,-0.00110,-0.14004,0.00000,rule_only
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,9,P17,79,0.62421,0.62469,0.62055,-0.00366,-0.58660,-0.00414,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,13,P19,339,0.25283,0.25486,0.25174,-0.00109,-0.43151,-0.00312,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,17,P264,169,0.14763,0.14596,0.14582,-0.00182,-1.22997,-0.00014,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,18,P495,115,0.51164,0.50610,0.50196,-0.00967,-1.89075,-0.00414,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,22,P20,260,0.33172,0.32317,0.32825,-0.00346,-1.04448,0.00508,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,24,P119,91,0.34802,0.34362,0.34362,-0.00441,-1.26627,0.00000,rule_only
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,28,P57,31,0.22773,0.22773,0.22747,-0.00026,-0.11614,-0.00026,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,32,P1050,20,0.28556,0.28556,0.28544,-0.00012,-0.04286,-0.00012,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,35,P37,13,0.45888,0.45474,0.43622,-0.02266,-4.93844,-0.01852,dependency
WN18RR,structural_rd,3,_also_see,56,0.66021,0.65110,0.65115,-0.00907,-1.37328,0.00004,dependency
WN18RR,structural_rd,8,_member_of_domain_region,26,0.38072,0.37553,0.38065,-0.00007,-0.01804,0.00512,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,2,/media_common/netflix_genre/titles,124,0.36690,0.36549,0.36549,-0.00141,-0.38416,0.00000,rule_only
