dataset,setting,total,B,Uc,Ud,other,other_Z,other_Uxx,other_aux,path
FB15k-237,rule.txt,1737378,85209,1398534,253307,328,328,0,0,data/FB15k-237/rules/rule.txt
FB15k-237,rules-10,123397,7304,75658,40107,328,328,0,0,data/FB15k-237/rules/rules-10
FB15k-237,rules-10-5,66061,6485,31891,27357,328,328,0,0,data/FB15k-237/rules/rules-10-5
FB15k-237,rules-100,2103473,29091,1539206,534848,328,328,0,0,data/FB15k-237/rules/rules-100
FB15k-237,rules-100-5,859918,25183,610891,223516,328,328,0,0,data/FB15k-237/rules/rules-100-5
FB15k-237,rules-1000,7634555,110255,6757915,766057,328,328,0,0,data/FB15k-237/rules/rules-1000
FB15k-237,rules-1000-5,1737378,85209,1398534,253307,328,328,0,0,data/FB15k-237/rules/rules-1000-5
FB15k-237,rules-400,5171513,67460,4374647,729078,328,328,0,0,data/FB15k-237/rules/rules-400
FB15k-237,rules-400-5,1492933,54961,1186638,251006,328,328,0,0,data/FB15k-237/rules/rules-400-5
KG20C,rule.txt,37433,54,25115,12220,44,44,0,0,data/KG20C/rules/rule.txt
KG20C,rules-10,45460,56,26361,18999,44,44,0,0,data/KG20C/rules/rules-10
KG20C,rules-10-3,21887,54,10481,11308,44,44,0,0,data/KG20C/rules/rules-10-3
KG20C,rules-100,125580,56,103014,22466,44,44,0,0,data/KG20C/rules/rules-100
KG20C,rules-100-3,35940,54,23622,12220,44,44,0,0,data/KG20C/rules/rules-100-3
KG20C,rules-1000,154790,56,132224,22466,44,44,0,0,data/KG20C/rules/rules-1000
KG20C,rules-1000-3,37433,54,25115,12220,44,44,0,0,data/KG20C/rules/rules-1000-3
KG20C,rules-400,150884,56,128318,22466,44,44,0,0,data/KG20C/rules/rules-400
KG20C,rules-400-3,37359,54,25041,12220,44,44,0,0,data/KG20C/rules/rules-400-3
WN18RR,rule.txt,18612,1222,13656,3704,30,30,0,0,data/WN18RR/rules/rule.txt
WN18RR,rules-10,22217,762,18331,3094,30,30,0,0,data/WN18RR/rules/rules-10
WN18RR,rules-10-3,9638,589,7608,1411,30,30,0,0,data/WN18RR/rules/rules-10-3
WN18RR,rules-100,63751,1449,49821,12451,30,30,0,0,data/WN18RR/rules/rules-100
WN18RR,rules-100-3,18377,1060,13595,3692,30,30,0,0,data/WN18RR/rules/rules-100-3
