dataset,cap,complementary_dependencies,redundant_dependencies,total_dependencies
KG20C,5,274567,616237,890804
KG20C,6,274567,616237,890804
KG20C,7,274567,616237,890804
KG20C,8,274567,616236,890803
KG20C,9,274567,616237,890804
KG20C,no-cap,274567,616237,890804
WN18RR,5,120980,1510892,1631872
WN18RR,6,121413,1510782,1632195
WN18RR,7,121518,1510867,1632385
WN18RR,8,121302,1510948,1632250
WN18RR,9,120899,1510869,1631768
WN18RR,no-cap,121321,1510886,1632207
codex-m,5,1337742,27593048,28930790
codex-m,6,1338079,27592751,28930830
codex-m,7,1337680,27593007,28930687
codex-m,8,1337843,27592913,28930756
codex-m,9,1337885,27592812,28930697
codex-m,no-cap,1337727,27593049,28930776
FB15k-237,5,5465786,157735117,163200903
FB15k-237,6,5467412,157732205,163199617
FB15k-237,7,5466644,157733436,163200080
FB15k-237,8,5466364,157732765,163199129
FB15k-237,9,5469999,157729307,163199306
FB15k-237,no-cap,5464846,157736095,163200941
codex-l,5,592517,9893016,10485533
codex-l,6,592104,9893291,10485395
codex-l,7,592032,9893455,10485487
codex-l,8,592257,9893338,10485595
codex-l,9,592614,9892950,10485564
codex-l,no-cap,591982,9893551,10485533
YAGO3-10,5,3243104,16888601,20131705
YAGO3-10,6,3242978,16888679,20131657
YAGO3-10,7,3243105,16888590,20131695
YAGO3-10,8,3243066,16888683,20131749
YAGO3-10,9,3242955,16888654,20131609
YAGO3-10,no-cap,3243008,16888691,20131699
