dataset,e_min,g_min,raw_dependencies,retained_dependencies,mrr
KG20C,0.01,0.01,1105798,508596,0.234132545
KG20C,0.03,0.01,971881,484065,0.234229036
KG20C,0.05,0.005,922173,475447,0.234015677
KG20C,0.05,0.01,890804,473727,0.234027792
KG20C,0.05,0.03,779174,461235,0.234136130
KG20C,0.05,0.05,683179,414045,0.234087465
KG20C,0.10,0.01,788287,445069,0.233352463
Codex-M,0.01,0.01,30273674,1612739,0.344725038
Codex-M,0.03,0.01,29559798,1517919,0.344731687
Codex-M,0.05,0.005,29094377,1480805,0.344981367
Codex-M,0.05,0.01,28931290,1469065,0.344721345
Codex-M,0.05,0.03,28282901,1429948,0.344599241
Codex-M,0.05,0.05,27538810,1377337,0.344916375
Codex-M,0.10,0.01,26806320,1370232,0.344654657
YAGO3-10,0.01,0.01,23725526,3020197,0.579979862
YAGO3-10,0.03,0.01,22404666,2947455,0.579668242
YAGO3-10,0.05,0.005,20366352,2848325,0.578769572
YAGO3-10,0.05,0.01,20131765,2828219,0.579076694
YAGO3-10,0.05,0.03,19163755,2762076,0.578904968
YAGO3-10,0.05,0.05,17890333,2710236,0.578915292
YAGO3-10,0.10,0.01,15848711,2000351,0.576540504
